Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance cycling(mi),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2017-08-20,,,,,2.817,,11.000,,,,7510.657,
2017-08-21,,,,,1.379,,8.000,,,,3436.000,
2017-08-22,,,,,1.484,,9.000,,,,3123.000,
2017-08-23,,,,,2.529,,11.000,,,,6223.965,
2017-08-24,,,,,5.304,,41.000,,,,13138.465,
2017-08-25,,,,,2.617,,18.000,,,,6777.570,
2017-08-26,,,,,0.957,,12.000,,,,2340.263,
2017-08-27,,,,,2.485,,17.000,,,,6696.737,
2017-08-28,,,,,1.168,,2.000,,,,3198.603,
2017-08-29,,,,,4.469,,17.000,,,,11372.397,
2017-08-30,,,,,2.473,,12.000,,,,6189.000,
2017-08-31,,,,,2.919,,13.000,,,,7101.000,
2017-09-01,,,,,5.856,,43.000,,,,14335.194,
2017-09-02,,,,,1.826,,3.000,,,,4932.806,
2017-09-03,,,,,1.360,,7.000,,,,3472.000,
2017-09-04,,,,,1.427,,16.000,,,,3456.000,
2017-09-05,,,,,2.470,,14.000,,,,6466.000,
2017-09-06,,,,,5.824,,48.000,,,,14414.000,
2017-09-07,,,,,3.461,,11.000,,,,9149.369,
2017-09-08,,,,,7.099,,33.000,,,,18360.631,
2017-09-09,,,,,4.160,,34.000,,,,10816.000,
2017-09-10,,,,,2.810,,18.000,,,,6794.000,
2017-09-11,,,,,6.235,,25.000,,,,15416.000,
2017-09-12,,,,,4.433,,14.000,,,,11523.000,
2017-09-13,,,,,3.985,,3.000,,,,9456.000,
2017-09-14,,,,,6.069,,21.000,,,,15482.304,
2017-09-15,,,,,5.755,,22.000,,,,14592.120,
2017-09-16,,,,,0.951,,9.000,,,,2300.576,
2017-09-17,,,,,1.220,,9.000,,,,2943.000,
2017-09-18,,,,,5.045,,23.000,,,,12284.000,
2017-09-19,,,,,7.616,,24.000,,,,18809.000,
2017-09-20,,,,,5.874,,31.000,,,,14128.000,
2017-09-21,,,,,4.964,,18.000,,,,12115.000,
2017-09-22,,,,,3.814,,20.000,,,,9231.000,
2017-09-23,,,,,3.898,,13.000,,,,9315.000,
2017-09-24,,,,,2.974,,12.000,,,,7113.000,
2017-09-25,,,,,3.002,,19.000,,,,7290.000,
2017-09-26,,,,,4.211,,8.000,,,,9861.000,
2017-09-27,,,,,4.815,,27.000,,,,10887.000,
2017-09-28,,,,,5.238,,24.000,,,,12096.000,
2017-09-29,,,,,6.272,,36.000,,,,16039.973,
2017-09-30,,,,,5.009,,23.000,,,,13176.420,
2017-10-01,,,,,3.597,,25.000,,,,9227.607,
2017-10-02,,,,,5.708,,40.000,,,,14473.000,
2017-10-03,,,,,3.441,,8.000,,,,8790.000,
2017-10-04,,,,,4.173,,16.000,,,,10405.000,
2017-10-05,,,,,4.607,,26.000,,,,11329.000,
2017-10-06,,,,,1.996,,13.000,,,,4892.000,
2017-10-07,,,,,3.790,,20.000,,,,10158.000,
2017-10-08,,,,,4.606,,33.000,,,,11512.000,
2017-10-09,,,,,4.973,,34.000,,,,12525.000,
2017-10-10,,,,,2.730,,16.000,,,,7065.571,
2017-10-11,,,,,5.288,,28.000,,,,13105.636,
2017-10-12,,,,,2.796,,4.000,,,,7531.793,
2017-10-13,,,,,3.252,,3.000,,,,8499.602,
2017-10-14,,,,,5.519,,19.000,,,,14263.398,
2017-10-15,,,,,2.404,,24.000,,,,6089.000,
2017-10-16,,,,,4.330,,24.000,,,,10784.000,
2017-10-17,,,,,3.037,,8.000,,,,7717.000,
2017-10-18,,,,,4.215,,15.000,,,,11405.000,
2017-10-19,,,,,4.362,,22.000,,,,11405.178,
2017-10-20,,,,,3.698,,16.000,,,,8870.822,
2017-10-21,,,,,4.798,,25.000,,,,12385.000,
2017-10-22,,,,,1.731,,17.000,,,,4429.000,
2017-10-23,,,,,4.547,,37.000,,,,10785.000,
2017-10-24,,,,,3.826,,27.000,,,,8887.000,
2017-10-25,,,,,5.399,,43.000,,,,13968.000,
2017-10-26,,,,,4.239,,24.000,,,,10121.000,
2017-10-27,,,,,4.144,,30.000,,,,10271.000,
2017-10-28,,,,,2.283,,12.000,,,,5919.000,
2017-10-29,,,,,1.778,,13.000,,,,4668.000,
2017-10-30,,,,,3.463,,20.000,,,,8899.000,
2017-10-31,,,,,1.562,,10.000,,,,4059.000,
2017-11-01,,,,,3.370,,26.000,,,,8603.296,
2017-11-02,,,,,4.246,,16.000,,,,10818.704,
2017-11-03,,,,,3.500,,28.000,,,,8873.000,
2017-11-04,,,,,2.257,,11.000,,,,5849.000,
2017-11-05,,,,,3.163,,11.000,,,,7544.000,
2017-11-06,,,,,3.966,,27.000,,,,9929.000,
2017-11-07,,,,,3.146,,17.000,,,,7876.000,
2017-11-08,,,,,3.310,,29.000,,,,8554.787,
2017-11-09,,,,,3.650,,35.000,,,,8665.213,
2017-11-10,,,,,4.143,,28.000,,,,10543.000,
2017-11-11,,,,,6.848,,69.000,,,,17133.190,
2017-11-12,,,,,2.832,,34.000,,,,7075.810,
2017-11-13,,,,,4.717,,34.000,,,,11572.823,
2017-11-14,,,,,2.662,,17.000,,,,6886.177,
2017-11-15,,,,,4.251,,41.000,,,,11062.000,
2017-11-16,,,,,5.356,,32.000,,,,13360.437,
2017-11-17,,,,,1.968,,18.000,,,,4993.022,
2017-11-18,,,,,6.386,,45.000,,,,16720.541,
2017-11-19,,,,,1.443,,22.000,,,,3685.000,
2017-11-20,,,,,4.168,,36.000,,,,10777.000,
2017-11-21,,,,,2.619,,27.000,,,,6576.000,
2017-11-22,,,,,3.115,,22.000,,,,8094.000,
2017-11-23,,,,,5.133,,9.000,,,,10434.000,
2017-11-24,,,,,1.481,,14.000,,,,3704.000,
2017-11-25,,,,,0.707,,2.000,,,,1715.000,
2017-11-26,,,,,1.959,,16.000,,,,5209.501,
2017-11-27,,,,,3.851,,40.000,,,,9882.021,
2017-11-28,,,,,3.621,,18.000,,,,9191.478,
2017-11-29,,,,,4.143,,37.000,,,,10893.000,
2017-11-30,,,,,4.029,,14.000,,,,10526.000,
2017-12-01,,,,,3.994,,30.000,,,,9621.422,
2017-12-02,,,,,4.422,,41.000,,,,10668.578,
2017-12-03,,,,,1.716,,23.000,,,,4213.000,
2017-12-04,,,,,2.723,,29.000,,,,6954.000,
2017-12-05,,,,,2.278,,22.000,,,,5663.000,
2017-12-06,,,,,4.533,,46.000,,,,11288.000,
2017-12-07,,,,,3.622,,14.000,,,,9116.988,
2017-12-08,,,,,2.204,,23.000,,,,5442.012,
2017-12-09,,,,,6.552,,66.000,,,,15588.140,
2017-12-10,,,,,4.228,,48.000,,,,9451.860,
2017-12-11,,,,,4.244,,45.000,,,,10840.000,
2017-12-12,,,,,3.179,,15.000,,,,8430.000,
2017-12-13,,,,,4.741,,41.000,,,,11646.000,
2017-12-14,,,,,2.807,,20.000,,,,7160.000,
2017-12-15,,,,,3.184,,34.000,,,,7703.000,
2017-12-16,,,,,3.406,,17.000,,,,8376.459,
2017-12-17,,,,,2.431,,18.000,,,,6186.541,
2017-12-18,,,,,1.626,,11.000,,,,4251.000,
2017-12-19,,,,,2.614,,17.000,,,,6797.000,
2017-12-20,,,,,1.911,,24.000,,,,4870.407,
2017-12-21,,,,,3.852,,36.000,,,,9725.593,
2017-12-22,,,,,3.999,,21.000,,,,10003.000,
2017-12-23,,,,,2.819,,14.000,,,,7163.000,
2017-12-24,,,,,1.305,,10.000,,,,3260.000,
2017-12-25,,,,,1.010,,3.000,,,,2633.339,
2017-12-26,,,,,0.975,,16.000,,,,2487.661,
2017-12-27,,,,,1.065,,9.000,,,,2726.000,
2017-12-28,,,,,1.166,,15.000,,,,3096.000,
2017-12-29,,,,,1.365,,13.000,,,,3279.000,
