Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2022-01-11 15:01:54 - 2022-01-11 15:10:10,31.587,Functional Strength Training,,496.548,,,,1.000,0.000,0.000,0.000,0.000,113.397,113.397,5.446,,,,,
2022-01-11 15:31:00 - 2022-01-11 15:40:09,44.493,Functional Strength Training,,549.672,,,,0.000,1.000,0.000,0.000,0.000,121.108,121.108,5.933,,,,,
2022-01-12 10:19:05 - 2022-01-12 10:31:06,67.495,Functional Strength Training,,720.646,,,,1.000,0.000,0.000,0.000,0.000,110.674,110.674,6.154,,,,53.000,71.600
2022-01-12 10:35:42 - 2022-01-12 10:51:07,110.817,Traditional Strength Training,,924.917,,,,0.500,0.500,0.000,0.000,0.000,119.671,128.271,6.309,,,,52.000,73.400
2022-01-14 11:28:16 - 2022-01-14 11:36:23,45.944,Functional Strength Training,,487.556,,,,0.000,1.000,0.000,0.000,0.000,118.186,118.186,6.177,,,,49.000,78.800
2022-01-17 10:40:45 - 2022-01-17 11:01:43,107.936,Yoga,,1258.498,,,,1.000,0.000,0.000,0.000,0.000,94.473,108.146,,,,,74.000,26.600
2022-01-17 10:41:12 - 2022-01-17 11:11:12,134.000,Yoga (Indoor),,1800.000,,,,0.643,0.357,0.000,0.000,0.000,98.939,126.000,,,,,,
2022-01-17 13:24:35 - 2022-01-17 13:53:51,255.122,Cycling (Indoor),,1756.299,,,,0.000,0.333,0.667,0.000,0.000,140.732,145.693,8.722,,,,67.000,28.400
2022-01-17 13:24:38 - 2022-01-17 13:53:37,379.000,Cycling (Indoor),9.200,1739.000,,,,0.000,0.500,0.500,0.000,0.000,138.252,145.454,,19.000,20.400,,,
2022-01-18 07:42:53 - 2022-01-18 10:08:15,89.334,Walking,1.086,1445.346,19.029,614.740,594.309,1.000,0.000,0.000,0.000,0.000,79.588,92.160,4.405,,,,78.000,24.800
2022-01-19 08:35:34 - 2022-01-19 08:53:59,101.100,Walking,1.087,1105.295,20.801,605.500,589.029,1.000,0.000,0.000,0.000,0.000,97.238,98.876,6.049,,,,62.000,24.800
2022-01-20 08:16:44 - 2022-01-20 08:35:00,86.758,Walking,1.080,1095.741,20.079,599.362,591.464,1.000,0.000,0.000,0.000,0.000,69.942,81.847,5.374,,,,63.000,8.600
2022-01-20 11:02:56 - 2022-01-20 11:48:00,495.020,Cycling (Indoor),,2703.357,,,,0.000,0.000,0.600,0.400,0.000,153.249,156.648,10.639,,,,58.000,12.200
2022-01-20 11:03:02 - 2022-01-20 11:48:05,593.000,Cycling (Indoor),14.340,2703.000,,,,0.000,0.000,0.667,0.333,0.000,153.208,156.648,,19.100,20.800,,,
2022-01-20 17:52:32 - 2022-01-20 18:16:53,147.266,Functional Strength Training,,1461.586,,,,0.334,0.333,0.333,0.000,0.000,121.398,139.806,6.366,,,,56.000,15.800
2022-01-20 18:57:57 - 2022-01-20 19:16:20,53.100,Walking,0.496,1102.938,23.458,602.140,558.575,1.000,0.000,0.000,0.000,0.000,107.200,107.406,3.554,,,,59.000,15.800
2022-01-21 11:06:29 - 2022-01-21 11:20:12,58.022,Walking,0.636,822.464,29.724,629.389,594.058,1.000,0.000,0.000,0.000,0.000,86.847,86.847,4.852,,,,59.000,21.200
2022-01-21 16:59:58 - 2022-01-21 17:38:39,72.383,Functional Strength Training,,1168.121,,,,1.000,0.000,0.000,0.000,0.000,80.863,88.216,4.202,,,,55.000,23.000
2022-01-22 12:07:42 - 2022-01-22 12:21:50,47.778,Walking,0.661,847.947,,,,0.737,0.263,0.000,0.000,0.000,105.658,121.000,4.611,,,,,
2022-01-22 12:29:58 - 2022-01-22 14:07:19,327.303,Functional Strength Training,,5380.187,,,,1.000,0.000,0.000,0.000,0.000,83.200,102.555,4.208,,,,64.000,28.400
2022-01-23 12:18:16 - 2022-01-23 12:58:33,79.331,Walking,2.095,2417.054,13.255,601.952,591.679,1.000,0.000,0.000,0.000,0.000,103.755,111.000,4.630,,,,63.000,19.400
2022-01-23 15:13:11 - 2022-01-23 15:36:13,109.742,Walking,1.298,1381.723,16.667,607.324,590.228,1.000,0.000,0.000,0.000,0.000,101.764,109.000,5.421,,,,50.000,21.200
2022-01-24 13:48:56 - 2022-01-24 13:58:58,38.190,Functional Strength Training,,602.227,,,,1.000,0.000,0.000,0.000,0.000,86.641,86.641,4.516,,,,69.000,26.600
2022-01-24 13:49:13 - 2022-01-24 13:59:13,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,96.000,107.000,,,,,,
2022-01-24 14:01:20 - 2022-01-24 14:04:34,16.224,Functional Strength Training,,193.886,,,,1.000,0.000,0.000,0.000,0.000,95.200,110.000,,,,,69.000,26.600
2022-01-24 14:06:08 - 2022-01-24 14:24:05,55.029,Functional Strength Training,,725.945,,,,1.000,0.000,0.000,0.000,0.000,85.111,94.314,5.129,,,,68.000,26.600
2022-01-24 18:52:29 - 2022-01-24 19:12:29,62.000,Preparation and Recovery (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,72.050,83.000,,,,,,
2022-01-26 08:41:46 - 2022-01-26 08:58:12,80.888,Walking,0.864,986.210,16.043,603.562,592.666,1.000,0.000,0.000,0.000,0.000,92.728,93.862,5.459,,,,63.000,-2.200
2022-01-26 19:33:14 - 2022-01-26 19:46:28,46.055,Walking,0.565,793.892,,,,1.000,0.000,0.000,0.000,0.000,93.346,106.000,3.927,,,,,
2022-01-27 17:56:37 - 2022-01-27 18:14:43,82.064,Walking,0.990,1086.253,5.217,605.726,592.717,1.000,0.000,0.000,0.000,0.000,94.511,94.511,5.176,,,,67.000,30.200
2022-01-27 18:18:08 - 2022-01-27 18:49:46,198.138,Functional Strength Training,,1897.153,,,,0.333,0.667,0.000,0.000,0.000,115.782,127.303,6.617,,,,69.000,28.400
2022-01-28 17:56:00 - 2022-01-28 18:11:01,139.046,Cycling (Indoor),,901.050,,,,0.000,0.500,0.000,0.500,0.000,148.911,164.813,9.218,,,,56.000,21.200
2022-01-28 17:56:05 - 2022-01-28 18:11:08,220.000,Cycling (Indoor),4.800,903.000,,,,0.000,0.333,0.333,0.334,0.000,149.274,164.813,,19.200,29.100,,,
2022-01-28 18:13:11 - 2022-01-28 18:23:11,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,120.105,120.105,,,,,,
2022-01-28 18:13:12 - 2022-01-28 18:23:20,60.754,Traditional Strength Training,,607.963,,,,0.000,1.000,0.000,0.000,0.000,120.105,120.105,5.089,,,,57.000,21.200
2022-01-30 10:39:22 - 2022-01-30 10:57:17,65.725,Walking,0.636,1074.871,16.437,601.385,579.930,1.000,0.000,0.000,0.000,0.000,85.372,87.976,4.296,,,,69.000,24.800
2022-01-31 08:44:40 - 2022-01-31 09:05:18,81.780,Walking,1.111,1237.502,18.734,604.894,593.427,1.000,0.000,0.000,0.000,0.000,73.705,73.705,4.691,,,,62.000,32.000
2022-01-31 11:13:26 - 2022-01-31 11:58:29,402.185,Cycling (Indoor),,2702.304,,,,0.000,0.200,0.800,0.000,0.000,141.872,145.532,8.886,,,,59.000,33.800
2022-01-31 11:13:30 - 2022-01-31 11:58:30,578.000,Cycling (Indoor),14.190,2700.000,,,,0.000,0.000,1.000,0.000,0.000,143.953,145.532,,18.900,21.000,,,
2022-02-01 08:21:50 - 2022-02-01 08:41:52,82.924,Walking,1.099,1202.549,19.423,602.078,591.197,1.000,0.000,0.000,0.000,0.000,93.022,93.989,4.782,,,,63.000,37.400
2022-02-01 15:49:33 - 2022-02-01 17:29:40,550.527,Functional Strength Training,,6006.729,,,,0.778,0.222,0.000,0.000,0.000,107.620,121.928,5.936,,,,74.000,42.800
2022-02-02 16:34:47 - 2022-02-02 18:21:46,415.722,Functional Strength Training,,5219.420,,,,1.000,0.000,0.000,0.000,0.000,96.606,109.137,5.151,,,,76.000,23.000
2022-02-03 11:31:17 - 2022-02-03 11:45:14,53.167,Walking,0.617,743.108,19.423,626.151,591.865,1.000,0.000,0.000,0.000,0.000,94.112,94.112,6.665,,,,71.000,24.800
2022-02-04 17:22:39 - 2022-02-04 18:42:10,397.607,Functional Strength Training,,3695.506,,,,0.500,0.429,0.071,0.000,0.000,109.352,136.000,6.727,,,,73.000,21.200
2022-02-05 22:52:14 - 2022-02-05 23:14:27,75.475,Walking (Indoor),0.965,1333.003,,,,0.396,0.604,0.000,0.000,0.000,115.683,121.000,4.048,,,,,
2022-02-07 12:58:03 - 2022-02-07 13:16:46,93.468,Walking,1.089,1122.993,29.692,617.569,591.318,1.000,0.000,0.000,0.000,0.000,97.034,97.597,5.549,,,,60.000,24.800
2022-02-07 17:51:10 - 2022-02-07 18:14:16,147.132,Functional Strength Training,,1385.456,,,,0.500,0.500,0.000,0.000,0.000,113.952,121.199,6.731,,,,61.000,21.200
2022-02-09 12:32:50 - 2022-02-09 13:02:49,165.488,Walking,1.603,1798.287,34.613,613.342,588.764,1.000,0.000,0.000,0.000,0.000,103.869,105.733,6.018,,,,64.000,41.000
2022-02-09 18:31:28 - 2022-02-09 19:00:47,104.158,Walking,1.288,1759.790,,606.352,591.819,1.000,0.000,0.000,0.000,0.000,101.027,105.000,4.090,,,,73.000,37.400
2022-02-10 08:16:15 - 2022-02-10 08:36:35,114.037,Walking,1.112,1220.422,27.297,616.156,593.933,1.000,0.000,0.000,0.000,0.000,95.174,97.025,6.090,,,,64.000,28.400
2022-02-11 07:48:26 - 2022-02-11 08:07:33,57.706,Functional Strength Training,,1147.081,,,,1.000,0.000,0.000,0.000,0.000,70.329,86.786,3.614,,,,83.000,39.200
2022-02-16 08:08:50 - 2022-02-16 08:28:14,107.537,Walking,1.115,1163.427,33.990,629.170,591.535,1.000,0.000,0.000,0.000,0.000,97.012,98.712,6.068,,,,,
2022-02-17 08:33:02 - 2022-02-17 08:51:24,91.332,Walking,1.098,1101.076,28.117,641.906,595.950,1.000,0.000,0.000,0.000,0.000,101.241,102.026,5.563,,,,,
2022-02-18 08:03:11 - 2022-02-18 08:25:57,116.083,Walking,1.112,1365.374,18.734,599.818,590.734,1.000,0.000,0.000,0.000,0.000,101.178,105.791,5.593,,,,72.000,10.400
2022-02-18 13:39:22 - 2022-02-18 13:57:51,77.440,Walking,1.080,1108.861,37.369,614.175,590.113,1.000,0.000,0.000,0.000,0.000,59.069,62.666,4.879,,,,47.000,24.800
2022-02-18 18:28:47 - 2022-02-18 18:58:13,132.467,Walking,1.583,1766.221,51.640,654.212,588.666,1.000,0.000,0.000,0.000,0.000,105.759,113.816,5.116,,,,61.000,26.600
2022-02-19 11:43:13 - 2022-02-19 12:09:01,98.924,Walking,1.132,1547.958,45.538,642.429,593.131,1.000,0.000,0.000,0.000,0.000,108.834,110.321,4.506,,,,48.000,15.800
2022-02-19 12:56:45 - 2022-02-19 13:10:04,46.401,Walking,0.520,798.707,,,,1.000,0.000,0.000,0.000,0.000,101.913,105.000,4.023,,,,,
2022-02-20 16:34:55 - 2022-02-20 16:57:38,106.277,Yoga,,1281.301,,,,1.000,0.000,0.000,0.000,0.000,99.297,107.000,4.912,,,,57.000,46.400
