Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2022-03-01 09:59:24 - 2022-03-01 10:19:21,77.801,Walking,1.101,1126.198,21.227,626.599,590.867,1.000,0.000,0.000,0.000,0.000,94.369,95.116,4.662,,,,62.000,46.400
2022-03-01 16:11:19 - 2022-03-01 17:08:03,293.482,Functional Strength Training,,2895.268,,,,0.615,0.385,0.000,0.000,0.000,108.472,128.105,6.469,,,,64.000,44.600
2022-03-01 19:55:02 - 2022-03-01 20:20:51,128.772,Walking,1.434,1548.660,15.125,614.354,589.447,1.000,0.000,0.000,0.000,0.000,109.722,114.129,5.560,,,,80.000,35.600
2022-03-02 08:49:45 - 2022-03-02 09:01:46,64.154,Walking,0.679,721.297,10.597,599.297,592.123,1.000,0.000,0.000,0.000,0.000,94.000,95.196,5.891,,,,67.000,37.400
2022-03-02 09:02:40 - 2022-03-02 09:10:44,41.173,Walking,0.432,483.929,13.550,601.335,594.701,1.000,0.000,0.000,0.000,0.000,100.942,100.942,5.682,,,,63.000,39.200
2022-03-03 08:52:45 - 2022-03-03 09:21:10,96.223,Walking,0.839,1034.004,698.917,606.626,591.379,0.667,0.333,0.000,0.000,0.000,100.332,115.731,4.293,,,,64.000,30.200
2022-03-04 08:27:10 - 2022-03-04 08:47:48,90.157,Walking,1.113,1193.669,10.663,603.566,582.893,1.000,0.000,0.000,0.000,0.000,98.254,99.892,5.053,,,,,
2022-03-04 13:20:29 - 2022-03-04 13:32:09,46.364,Walking,0.610,700.576,,600.301,594.536,1.000,0.000,0.000,0.000,0.000,106.081,113.000,5.058,,,,53.000,37.400
2022-03-05 09:25:06 - 2022-03-05 09:46:46,113.958,Yoga,,1300.341,,,,1.000,0.000,0.000,0.000,0.000,100.713,106.662,5.391,,,,53.000,48.200
2022-03-05 09:26:16 - 2022-03-05 09:46:16,87.000,Yoga (Indoor),,1200.000,,,,,,,,,,,,,,,,
2022-03-05 11:08:29 - 2022-03-05 11:18:31,54.774,Functional Strength Training,,602.011,,,,1.000,0.000,0.000,0.000,0.000,105.989,105.989,6.076,,,,48.000,60.800
2022-03-05 11:08:51 - 2022-03-05 11:18:51,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,0.000,1.000,0.000,0.000,137.333,139.000,,,,,,
2022-03-05 11:39:25 - 2022-03-05 11:49:53,43.450,Traditional Strength Training,,627.434,,,,1.000,0.000,0.000,0.000,0.000,103.927,103.927,2.446,,,,47.000,62.600
2022-03-05 11:39:49 - 2022-03-05 11:49:49,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,,
2022-03-05 12:04:51 - 2022-03-05 13:15:59,465.743,Functional Strength Training,,4267.535,,,,0.792,0.208,0.000,0.000,0.000,103.596,121.000,6.813,,,,50.000,64.400
2022-03-05 22:16:52 - 2022-03-05 22:43:51,86.908,Walking,1.086,1618.396,,,,0.759,0.241,0.000,0.000,0.000,112.267,135.000,4.182,,,,78.000,62.600
2022-03-06 09:33:31 - 2022-03-06 09:57:44,94.170,Walking,1.120,1415.883,22.966,633.380,573.554,1.000,0.000,0.000,0.000,0.000,97.522,100.306,4.601,,,,73.000,37.400
2022-03-06 19:33:10 - 2022-03-06 19:49:56,30.000,Preparation and Recovery (Indoor),,1006.000,,,,1.000,0.000,0.000,0.000,0.000,89.600,103.000,,,,,,
2022-03-06 19:40:35 - 2022-03-06 19:50:00,52.011,Cooldown,,565.250,,,,1.000,0.000,0.000,0.000,0.000,94.766,103.000,6.144,,,,71.000,39.200
2022-03-06 19:51:27 - 2022-03-06 20:22:02,166.880,Yoga,,1835.316,,,,1.000,0.000,0.000,0.000,0.000,83.149,98.304,5.823,,,,71.000,39.200
2022-03-06 19:51:46 - 2022-03-06 20:21:46,130.000,Yoga (Indoor),,1800.000,,,,1.000,0.000,0.000,0.000,0.000,81.473,92.734,,,,,,
2022-03-07 07:48:14 - 2022-03-07 08:08:49,75.307,Walking,1.108,1234.349,8.497,643.641,597.841,1.000,0.000,0.000,0.000,0.000,90.358,92.297,4.544,,,,92.000,33.800
2022-03-07 08:10:57 - 2022-03-07 08:32:05,100.437,Yoga,,1268.251,,,,1.000,0.000,0.000,0.000,0.000,69.725,90.792,4.961,,,,94.000,32.000
2022-03-07 08:11:23 - 2022-03-07 08:31:23,90.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,64.167,85.000,,,,,,
2022-03-07 11:00:46 - 2022-03-07 11:45:51,584.000,Cycling (Indoor),14.270,2705.000,,,,0.211,0.158,0.631,0.000,0.000,130.243,148.000,,19.000,20.800,,,
2022-03-07 11:00:47 - 2022-03-07 11:45:48,418.133,Cycling (Indoor),,2700.573,,,,0.176,0.176,0.648,0.000,0.000,131.272,148.000,9.196,,,,91.000,33.800
2022-03-07 12:04:40 - 2022-03-07 12:38:05,38.388,Cooldown,,386.310,,,,1.000,0.000,0.000,0.000,0.000,81.463,89.575,6.299,,,,87.000,33.800
2022-03-07 12:04:54 - 2022-03-07 12:09:54,15.000,Preparation and Recovery (Indoor),,300.000,,,,,,,,,,,,,,,,
2022-03-07 12:38:17 - 2022-03-07 12:50:55,42.472,Walking,0.465,758.094,14.108,602.362,593.720,1.000,0.000,0.000,0.000,0.000,93.653,100.695,4.057,,,,82.000,35.600
2022-03-07 17:50:31 - 2022-03-07 18:14:27,121.265,Walking,1.190,1340.962,25.656,600.531,589.310,0.000,1.000,0.000,0.000,0.000,119.848,120.376,5.642,,,,70.000,33.800
2022-03-07 19:33:02 - 2022-03-07 19:45:34,69.074,Cooldown,,751.693,,,,1.000,0.000,0.000,0.000,0.000,105.168,110.000,5.622,,,,72.000,33.800
2022-03-07 19:33:03 - 2022-03-07 19:45:03,31.000,Preparation and Recovery (Indoor),,720.000,,,,1.000,0.000,0.000,0.000,0.000,108.000,110.000,,,,,,
2022-03-08 07:20:00 - 2022-03-08 07:43:48,94.021,Walking,1.133,1322.876,26.411,599.952,591.963,0.833,0.167,0.000,0.000,0.000,94.616,116.000,4.742,,,,74.000,28.400
2022-03-08 07:46:47 - 2022-03-08 08:09:05,95.807,Yoga,,1338.332,,,,1.000,0.000,0.000,0.000,0.000,88.250,91.553,3.754,,,,73.000,28.400
2022-03-08 07:47:25 - 2022-03-08 08:07:25,90.000,Yoga (Indoor),,1200.000,,,,,,,,,,,,,,,,
2022-03-08 13:20:44 - 2022-03-08 13:33:40,41.043,Walking,0.463,775.804,22.966,606.228,594.482,1.000,0.000,0.000,0.000,0.000,87.367,95.730,3.902,,,,56.000,39.200
2022-03-08 17:28:00 - 2022-03-08 17:38:02,52.425,Functional Strength Training,,602.742,,,,1.000,0.000,0.000,0.000,0.000,100.353,100.353,5.728,,,,56.000,37.400
2022-03-08 17:28:20 - 2022-03-08 17:38:20,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,102.000,108.000,,,,,,
2022-03-08 17:45:05 - 2022-03-08 18:37:15,391.752,Traditional Strength Training,,3130.261,,,,0.100,0.700,0.200,0.000,0.000,129.596,150.993,6.779,,,,57.000,37.400
2022-03-08 18:38:21 - 2022-03-08 18:59:42,124.738,Cooldown,,1280.361,,,,1.000,0.000,0.000,0.000,0.000,98.306,105.000,6.265,,,,60.000,37.400
2022-03-08 18:39:47 - 2022-03-08 18:59:47,62.000,Preparation and Recovery (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,97.112,105.000,,,,,,
2022-03-09 08:25:07 - 2022-03-09 08:45:36,97.270,Walking,1.107,1204.646,26.673,605.229,590.206,1.000,0.000,0.000,0.000,0.000,98.035,99.912,5.365,,,,69.000,35.600
2022-03-09 12:58:11 - 2022-03-09 13:06:50,39.168,Walking,0.440,517.591,7.841,601.919,591.813,1.000,0.000,0.000,0.000,0.000,101.720,101.720,5.133,,,,54.000,42.800
2022-03-10 08:56:06 - 2022-03-10 09:21:52,86.484,Walking,0.820,956.466,683.235,628.759,586.155,1.000,0.000,0.000,0.000,0.000,102.334,108.023,4.276,,,,63.000,26.600
2022-03-10 10:45:17 - 2022-03-10 10:57:06,78.701,Rowing,,708.782,,,,0.000,1.000,0.000,0.000,0.000,124.823,124.823,6.998,,,,59.000,28.400
2022-03-10 10:57:56 - 2022-03-10 11:48:02,376.823,Traditional Strength Training,,2495.954,,,,0.143,0.429,0.428,0.000,0.000,128.111,137.836,8.467,,,,59.000,28.400
2022-03-10 15:46:21 - 2022-03-10 15:59:14,64.295,Walking,0.700,773.065,16.470,598.382,594.195,1.000,0.000,0.000,0.000,0.000,105.015,111.000,5.375,,,,63.000,28.400
2022-03-10 21:13:21 - 2022-03-10 21:34:59,118.623,Yoga,,1248.860,,,,1.000,0.000,0.000,0.000,0.000,83.910,102.625,5.975,,,,,
2022-03-10 21:14:16 - 2022-03-10 21:34:17,85.000,Yoga (Indoor),,1201.000,,,,1.000,0.000,0.000,0.000,0.000,80.202,92.606,,,,,,
2022-03-11 08:28:09 - 2022-03-11 08:48:38,102.604,Walking,1.101,1229.014,23.852,600.361,588.020,1.000,0.000,0.000,0.000,0.000,102.170,102.241,5.576,,,,72.000,24.800
2022-03-11 16:53:50 - 2022-03-11 17:14:51,82.642,Walking,1.090,1182.826,15.387,599.404,589.103,1.000,0.000,0.000,0.000,0.000,99.569,104.612,4.687,,,,43.000,28.400
2022-03-12 08:29:54 - 2022-03-12 08:48:40,83.971,Walking,1.099,1125.807,25.623,599.833,588.669,1.000,0.000,0.000,0.000,0.000,58.947,63.887,5.128,,,,55.000,12.200
2022-03-12 09:03:13 - 2022-03-12 09:13:33,54.471,Yoga,,619.759,,,,1.000,0.000,0.000,0.000,0.000,97.729,107.000,5.355,,,,54.000,14.000
2022-03-12 09:03:47 - 2022-03-12 09:13:47,45.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,98.400,107.000,,,,,,
2022-03-12 09:51:25 - 2022-03-12 10:18:16,143.232,Walking,1.565,1610.181,29.396,613.397,587.596,0.667,0.333,0.000,0.000,0.000,112.804,119.520,5.821,,,,52.000,15.800
2022-03-13 09:24:05 - 2022-03-13 09:40:07,60.484,Walking,0.625,961.905,16.207,611.514,587.477,0.500,0.500,0.000,0.000,0.000,114.257,115.843,4.433,,,,57.000,33.800
2022-03-13 17:20:31 - 2022-03-13 18:00:17,127.263,Walking,1.562,1972.027,22.146,606.134,589.223,0.857,0.000,0.143,0.000,0.000,102.733,143.000,4.349,,,,49.000,51.800
2022-03-13 20:05:12 - 2022-03-13 20:16:40,64.831,Cooldown,,687.451,,,,1.000,0.000,0.000,0.000,0.000,99.774,102.000,5.819,,,,58.000,46.400
2022-03-13 20:05:28 - 2022-03-13 20:16:28,31.000,Preparation and Recovery (Indoor),,660.000,,,,1.000,0.000,0.000,0.000,0.000,99.500,102.000,,,,,,
2022-03-13 20:17:56 - 2022-03-13 20:29:00,69.811,Yoga,,663.782,,,,1.000,0.000,0.000,0.000,0.000,99.424,103.273,6.893,,,,60.000,46.400
2022-03-13 20:18:29 - 2022-03-13 20:28:29,47.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,97.500,102.000,,,,,,
2022-03-13 20:34:18 - 2022-03-13 21:05:16,175.355,Yoga,,1857.824,,,,0.762,0.238,0.000,0.000,0.000,95.558,130.000,6.395,,,,61.000,46.400
2022-03-13 20:34:54 - 2022-03-13 21:04:54,127.000,Yoga (Indoor),,1800.000,,,,0.737,0.263,0.000,0.000,0.000,95.759,130.000,,,,,,
2022-03-14 08:44:35 - 2022-03-14 09:04:42,105.395,Walking,1.082,1206.668,3.970,620.316,585.597,1.000,0.000,0.000,0.000,0.000,112.995,113.468,5.799,,,,70.000,42.800
2022-03-14 12:55:01 - 2022-03-14 13:05:31,62.572,Yoga,,629.722,,,,1.000,0.000,0.000,0.000,0.000,88.935,100.738,6.260,,,,43.000,57.200
2022-03-14 12:55:28 - 2022-03-14 13:05:28,48.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,85.000,90.000,,,,,,
2022-03-14 13:29:40 - 2022-03-14 13:47:22,62.327,Walking,0.781,1062.096,13.615,618.498,592.140,1.000,0.000,0.000,0.000,0.000,103.995,104.828,4.273,,,,42.000,59.000
2022-03-15 15:48:57 - 2022-03-15 16:01:15,65.325,Walking,0.679,737.846,7.579,599.193,591.777,1.000,0.000,0.000,0.000,0.000,90.196,90.681,5.867,,,,71.000,44.600
2022-03-15 16:01:35 - 2022-03-15 16:10:16,57.143,Functional Strength Training,,521.096,,,,0.000,1.000,0.000,0.000,0.000,126.769,126.769,6.966,,,,70.000,44.600
2022-03-15 16:10:46 - 2022-03-15 16:18:52,43.123,Walking,0.438,485.716,,595.398,591.547,1.000,0.000,0.000,0.000,0.000,107.306,107.306,5.906,,,,70.000,44.600
2022-03-15 17:53:29 - 2022-03-15 18:04:46,75.418,Functional Strength Training,,677.007,,,,0.000,1.000,0.000,0.000,0.000,125.320,128.000,7.035,,,,69.000,42.800
2022-03-15 17:53:30 - 2022-03-15 18:03:30,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,124.667,128.000,,,,,,
2022-03-16 11:44:00 - 2022-03-16 12:09:32,97.774,Walking,0.897,1531.832,20.505,604.302,594.914,1.000,0.000,0.000,0.000,0.000,89.645,96.338,4.399,,,,54.000,62.600
2022-03-16 14:55:55 - 2022-03-16 15:32:32,137.311,Walking,1.586,2197.219,27.625,602.900,592.863,1.000,0.000,0.000,0.000,0.000,92.677,95.331,4.466,,,,47.000,66.200
2022-03-17 09:02:14 - 2022-03-17 09:14:28,62.219,Walking,0.660,733.388,12.205,639.979,596.499,1.000,0.000,0.000,0.000,0.000,93.242,94.040,5.663,,,,67.000,55.400
2022-03-17 09:15:11 - 2022-03-17 09:23:16,29.647,Walking,0.434,485.466,,628.575,594.685,1.000,0.000,0.000,0.000,0.000,92.915,92.915,4.466,,,,,
2022-03-18 08:33:45 - 2022-03-18 08:55:53,45.079,Walking,0.531,594.953,,624.235,586.895,1.000,0.000,0.000,0.000,0.000,87.573,100.587,5.155,,,,83.000,41.000
2022-03-19 09:50:00 - 2022-03-19 10:10:06,102.531,Walking,1.098,1205.577,13.189,600.518,588.446,1.000,0.000,0.000,0.000,0.000,88.723,89.224,5.673,,,,92.000,37.400
2022-03-20 08:49:06 - 2022-03-20 09:15:19,126.803,Walking,1.362,1572.805,26.476,608.246,590.474,1.000,0.000,0.000,0.000,0.000,88.115,88.710,5.434,,,,79.000,39.200
2022-03-20 09:49:59 - 2022-03-20 10:09:59,90.000,Yoga (Indoor),,1200.000,,,,0.987,0.013,0.000,0.000,0.000,91.726,116.000,,,,,,
2022-03-20 13:31:00 - 2022-03-20 13:43:14,59.422,Walking,0.657,733.810,12.205,597.430,592.465,1.000,0.000,0.000,0.000,0.000,98.677,98.992,5.446,,,,45.000,57.200
2022-03-20 13:47:11 - 2022-03-20 13:57:33,44.211,Walking,0.441,622.162,19.685,599.900,592.107,1.000,0.000,0.000,0.000,0.000,113.282,113.282,4.906,,,,44.000,57.200
2022-03-21 08:20:11 - 2022-03-21 08:40:04,90.278,Walking,1.084,1193.148,12.238,628.760,594.562,1.000,0.000,0.000,0.000,0.000,90.620,90.685,5.182,,,,60.000,50.000
2022-03-21 13:15:16 - 2022-03-21 13:37:55,71.283,Walking,0.923,1359.061,18.635,599.796,593.293,0.800,0.200,0.000,0.000,0.000,105.669,126.000,3.931,,,,38.000,71.600
2022-03-21 18:40:29 - 2022-03-21 19:28:39,139.445,Walking,1.714,2519.832,32.087,604.518,593.774,1.000,0.000,0.000,0.000,0.000,89.816,95.215,6.176,,,,36.000,69.800
2022-03-22 08:11:38 - 2022-03-22 08:31:17,102.232,Walking,1.100,1179.833,14.140,637.814,587.249,1.000,0.000,0.000,0.000,0.000,94.104,94.123,5.746,,,,79.000,51.800
2022-03-23 08:40:41 - 2022-03-23 09:00:53,98.903,Walking,1.085,1211.784,9.022,644.093,553.067,1.000,0.000,0.000,0.000,0.000,98.603,106.217,5.510,,,,91.000,51.800
2022-03-24 08:13:12 - 2022-03-24 08:32:37,105.480,Walking,1.086,1165.093,26.640,601.946,591.521,1.000,0.000,0.000,0.000,0.000,93.733,94.508,5.954,,,,89.000,42.800
2022-03-25 08:35:45 - 2022-03-25 08:58:51,62.907,Walking,0.601,1385.623,20.144,602.769,594.634,1.000,0.000,0.000,0.000,0.000,80.367,87.404,3.384,,,,89.000,39.200
2022-03-28 13:10:09 - 2022-03-28 13:31:54,88.115,Walking,1.204,1301.951,15.354,607.873,589.494,1.000,0.000,0.000,0.000,0.000,93.585,95.260,4.748,,,,45.000,30.200
2022-03-28 14:42:41 - 2022-03-28 15:09:58,106.407,Walking,1.233,1637.057,29.364,640.054,585.383,1.000,0.000,0.000,0.000,0.000,84.565,88.822,4.528,,,,,
2022-03-28 16:34:27 - 2022-03-28 16:58:08,118.429,Walking,1.284,1421.252,12.205,634.975,584.759,1.000,0.000,0.000,0.000,0.000,97.109,97.763,5.583,,,,,
2022-03-28 17:21:29 - 2022-03-28 17:44:59,112.012,Walking,1.277,1409.898,21.260,602.148,576.120,1.000,0.000,0.000,0.000,0.000,95.839,97.451,5.343,,,,48.000,30.200
2022-03-29 13:16:58 - 2022-03-29 14:37:52,110.812,Functional Strength Training,,1752.216,,,,1.000,0.000,0.000,0.000,0.000,75.962,96.922,4.669,,,,47.000,39.200
2022-03-29 14:28:09 - 2022-03-29 14:38:09,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,0.667,0.333,0.000,0.000,134.667,136.000,,,,,,
2022-03-29 17:25:47 - 2022-03-29 17:46:40,86.154,Walking,1.095,1253.514,24.245,604.445,590.863,1.000,0.000,0.000,0.000,0.000,97.798,99.557,4.831,,,,48.000,39.200
2022-03-29 20:45:55 - 2022-03-29 20:47:55,7.000,Preparation and Recovery (Indoor),,120.000,,,,1.000,0.000,0.000,0.000,0.000,84.000,84.000,,,,,,
2022-03-30 08:50:05 - 2022-03-30 09:10:56,79.636,Walking,1.070,1185.784,12.172,610.714,581.571,1.000,0.000,0.000,0.000,0.000,91.087,96.000,4.592,,,,68.000,51.800
2022-04-02 09:18:19 - 2022-04-02 09:24:17,23.912,Walking,0.325,358.278,,597.938,589.852,1.000,0.000,0.000,0.000,0.000,104.556,104.556,4.852,,,,71.000,39.200
2022-04-04 08:28:14 - 2022-04-04 08:48:40,79.282,Walking,1.075,1226.695,31.398,610.996,588.042,1.000,0.000,0.000,0.000,0.000,97.949,105.000,4.650,,,,80.000,46.400
2022-04-04 12:33:46 - 2022-04-04 12:54:57,84.938,Walking,1.093,1271.690,13.222,600.705,583.476,1.000,0.000,0.000,0.000,0.000,95.364,96.976,4.739,,,,71.000,48.200
2022-04-05 08:18:02 - 2022-04-05 08:39:12,79.092,Walking,1.076,1270.676,15.125,617.904,599.603,1.000,0.000,0.000,0.000,0.000,97.484,106.000,4.504,,,,,
2022-04-05 15:47:11 - 2022-04-05 16:14:22,92.497,Walking,1.137,1631.037,36.811,615.016,586.016,1.000,0.000,0.000,0.000,0.000,90.040,96.270,4.109,,,,70.000,48.200
2022-04-06 08:27:55 - 2022-04-06 08:39:11,45.559,Walking,0.595,675.829,6.562,601.154,582.469,1.000,0.000,0.000,0.000,0.000,96.109,96.109,4.764,,,,84.000,46.400
2022-04-06 15:37:18 - 2022-04-06 15:47:42,53.758,Walking,0.626,624.030,12.041,613.416,591.795,1.000,0.000,0.000,0.000,0.000,93.983,93.983,5.744,,,,49.000,55.400
2022-04-06 15:47:55 - 2022-04-06 16:00:24,68.250,Functional Strength Training,,749.328,,,,1.000,0.000,0.000,0.000,0.000,75.320,106.281,5.918,,,,,
2022-04-06 16:00:33 - 2022-04-06 16:08:10,32.620,Walking,0.429,457.613,,616.202,594.728,1.000,0.000,0.000,0.000,0.000,106.632,106.632,5.008,,,,,
2022-04-07 07:34:40 - 2022-04-07 07:46:34,62.409,Walking,0.655,711.418,10.860,619.502,587.322,1.000,0.000,0.000,0.000,0.000,93.462,94.798,5.797,,,,66.000,42.800
2022-04-07 07:47:02 - 2022-04-07 08:07:03,146.944,Functional Strength Training,,1200.589,,,,0.000,0.000,1.000,0.000,0.000,137.650,140.084,7.636,,,,,
2022-04-07 08:07:11 - 2022-04-07 08:15:11,35.113,Walking,0.438,480.375,,611.886,588.934,0.000,1.000,0.000,0.000,0.000,123.745,123.745,5.043,,,,,
2022-04-08 08:19:23 - 2022-04-08 08:37:14,82.843,Walking,0.878,1071.199,15.223,599.619,587.495,1.000,0.000,0.000,0.000,0.000,96.345,97.496,5.234,,,,84.000,37.400
2022-04-08 18:28:15 - 2022-04-08 18:53:20,86.851,Walking,0.963,1505.058,15.518,600.079,582.649,1.000,0.000,0.000,0.000,0.000,105.603,107.503,4.147,,,,92.000,35.600
2022-04-09 08:45:05 - 2022-04-09 08:57:38,62.770,Walking,0.676,752.493,9.350,638.126,575.270,1.000,0.000,0.000,0.000,0.000,90.876,93.047,5.607,,,,75.000,35.600
2022-04-09 08:57:52 - 2022-04-09 09:28:47,220.513,Functional Strength Training,,1854.984,,,,0.000,0.000,1.000,0.000,0.000,139.763,142.413,7.375,,,,,
2022-04-09 09:29:18 - 2022-04-09 09:37:16,32.632,Walking,0.424,478.033,,616.480,588.572,0.000,1.000,0.000,0.000,0.000,116.399,116.399,4.736,,,,,
2022-04-09 11:49:20 - 2022-04-09 12:20:40,128.926,Walking,1.617,1879.710,32.218,614.266,586.160,1.000,0.000,0.000,0.000,0.000,101.578,109.875,4.745,,,,62.000,39.200
2022-04-09 18:26:35 - 2022-04-09 18:55:01,163.027,Walking,1.522,1706.411,22.736,608.080,588.414,0.000,0.000,1.000,0.000,0.000,148.271,149.857,6.136,,,,67.000,39.200
2022-04-10 10:14:29 - 2022-04-10 11:05:31,130.369,Walking,1.483,2025.001,32.874,608.797,594.433,1.000,0.000,0.000,0.000,0.000,88.462,100.000,3.561,,,,43.000,51.800
2022-04-10 12:40:30 - 2022-04-10 13:35:32,267.662,Functional Strength Training,,3299.978,,,,0.929,0.071,0.000,0.000,0.000,90.864,132.198,5.463,,,,39.000,57.200
2022-04-10 19:04:39 - 2022-04-10 19:16:48,51.092,Walking,0.656,729.237,8.924,600.364,578.525,1.000,0.000,0.000,0.000,0.000,105.739,106.647,4.913,,,,,
2022-04-10 19:17:01 - 2022-04-10 19:27:35,65.634,Functional Strength Training,,634.026,,,,0.000,1.000,0.000,0.000,0.000,122.957,122.957,6.619,,,,42.000,57.200
2022-04-10 19:27:45 - 2022-04-10 19:40:58,51.356,Walking,0.456,792.901,15.387,598.868,591.276,0.500,0.500,0.000,0.000,0.000,104.347,115.084,4.510,,,,42.000,57.200
2022-04-11 08:26:56 - 2022-04-11 08:47:23,78.561,Walking,1.074,1174.988,9.055,619.282,582.992,1.000,0.000,0.000,0.000,0.000,99.519,109.000,4.665,,,,51.000,53.600
2022-04-11 10:13:42 - 2022-04-11 10:43:49,388.000,Cycling (Indoor),9.530,1807.000,,,,0.167,0.083,0.750,0.000,0.000,133.093,152.587,,19.000,20.400,,,
2022-04-11 10:13:43 - 2022-04-11 10:43:43,309.651,Cycling (Indoor),,1800.674,,,,0.182,0.091,0.727,0.000,0.000,131.829,152.587,10.080,,,,52.000,53.600
2022-04-11 17:14:25 - 2022-04-11 17:43:05,102.443,Walking,1.283,1719.882,14.272,599.470,591.651,1.000,0.000,0.000,0.000,0.000,85.450,86.736,4.327,,,,41.000,60.800
2022-04-11 17:59:52 - 2022-04-11 18:21:42,70.267,Yoga,,1310.309,,,,1.000,0.000,0.000,0.000,0.000,71.564,78.000,3.688,,,,41.000,60.800
2022-04-11 18:00:12 - 2022-04-11 18:20:12,73.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,74.376,78.000,,,,,,
2022-04-12 08:03:39 - 2022-04-12 08:15:53,60.634,Walking,0.669,734.356,3.084,617.839,591.362,1.000,0.000,0.000,0.000,0.000,96.644,98.364,5.579,,,,62.000,51.800
2022-04-12 08:16:02 - 2022-04-12 08:26:09,42.576,Functional Strength Training,,606.743,,,,1.000,0.000,0.000,0.000,0.000,105.991,105.991,5.003,,,,,
2022-04-12 08:26:17 - 2022-04-12 08:34:31,31.278,Walking,0.442,493.741,6.890,612.736,588.262,1.000,0.000,0.000,0.000,0.000,100.893,100.893,4.526,,,,,
2022-04-12 11:47:36 - 2022-04-12 11:57:43,39.034,Yoga,,607.235,,,,1.000,0.000,0.000,0.000,0.000,78.611,78.611,4.349,,,,35.000,60.800
2022-04-12 11:48:08 - 2022-04-12 11:58:08,37.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,75.200,78.000,,,,,,
2022-04-12 11:59:13 - 2022-04-12 12:09:25,48.864,Yoga,,612.151,,,,1.000,0.000,0.000,0.000,0.000,89.425,89.425,5.103,,,,35.000,60.800
2022-04-12 11:59:39 - 2022-04-12 12:09:39,48.000,Yoga (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,88.500,89.000,,,,,,
2022-04-12 13:27:57 - 2022-04-12 13:39:41,55.154,Walking,0.656,704.499,9.613,601.372,592.445,1.000,0.000,0.000,0.000,0.000,90.377,90.377,5.325,,,,37.000,60.800
2022-04-12 13:40:39 - 2022-04-12 13:52:03,67.537,Functional Strength Training,,683.936,,,,0.000,1.000,0.000,0.000,0.000,125.904,125.904,6.422,,,,37.000,60.800
2022-04-12 13:52:16 - 2022-04-12 14:01:29,39.615,Walking,0.450,553.363,20.308,616.374,595.108,1.000,0.000,0.000,0.000,0.000,111.297,111.297,4.984,,,,37.000,60.800
2022-04-12 17:47:54 - 2022-04-12 18:14:14,115.617,Functional Strength Training,,1579.999,,,,1.000,0.000,0.000,0.000,0.000,89.803,106.967,5.065,,,,55.000,66.200
2022-04-12 17:48:06 - 2022-04-12 17:53:06,31.000,Functional Strength Training (Indoor),,300.000,,,,1.000,0.000,0.000,0.000,0.000,76.000,82.000,,,,,,
2022-04-12 18:03:29 - 2022-04-12 18:13:29,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,,
2022-04-13 07:48:14 - 2022-04-13 08:09:42,92.824,Walking,1.099,1244.043,17.717,627.990,592.116,1.000,0.000,0.000,0.000,0.000,99.327,100.396,5.019,,,,76.000,64.400
2022-04-13 10:25:50 - 2022-04-13 10:55:57,391.000,Cycling (Indoor),9.550,1807.000,,,,0.071,0.000,0.929,0.000,0.000,141.103,148.214,,19.000,21.100,,,
2022-04-13 10:25:51 - 2022-04-13 10:55:52,300.311,Cycling (Indoor),,1800.676,,,,0.000,0.000,1.000,0.000,0.000,143.120,148.214,9.827,,,,84.000,64.400
2022-04-13 12:37:13 - 2022-04-13 12:50:46,61.705,Cycling,2.107,813.656,7.054,613.838,592.331,0.600,0.200,0.200,0.000,0.000,102.595,139.241,5.451,,,,82.000,64.400
2022-04-13 14:29:00 - 2022-04-13 14:41:05,64.966,Cycling,2.073,724.732,14.567,609.158,590.730,0.000,0.500,0.500,0.000,0.000,138.470,148.735,5.949,,,,64.000,71.600
