Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degF)
2020-05-22 22:38:12 - 2020-05-22 23:01:16,106.269,Walking,1.380,1383.660,22.244,601.477,597.737,1.000,0.000,0.000,0.000,0.000,93.842,99.592,5.737,,,,79.000,57.000
2020-05-23 11:58:31 - 2020-05-23 13:20:42,362.209,Walking,3.782,4931.737,87.795,629.268,588.589,1.000,0.000,0.000,0.000,0.000,98.859,102.810,5.123,,,,64.000,69.000
2020-05-24 09:43:47 - 2020-05-24 10:08:08,120.937,Walking,1.311,1460.927,8.005,609.705,597.707,1.000,0.000,0.000,0.000,0.000,99.475,112.307,,,,,59.000,75.000
2020-05-24 11:40:46 - 2020-05-24 12:20:54,130.171,Walking,1.660,2408.034,199.409,765.385,577.922,1.000,0.000,0.000,0.000,0.000,95.317,101.032,3.916,,,,49.000,81.000
2020-05-24 14:12:36 - 2020-05-24 15:13:11,159.941,Walking,1.740,3635.285,82.448,878.854,845.747,1.000,0.000,0.000,0.000,0.000,85.882,93.956,3.402,,,,51.000,85.000
2020-05-25 17:31:20 - 2020-05-25 18:00:30,138.534,Walking,1.428,1749.449,42.356,616.686,597.875,1.000,0.000,0.000,0.000,0.000,108.986,113.000,5.850,,,,51.000,82.000
2020-05-26 06:59:30 - 2020-05-26 07:28:10,195.095,Walking,2.186,1719.860,49.606,623.444,572.608,0.333,0.667,0.000,0.000,0.000,116.543,130.045,7.207,,,,69.000,71.000
2020-05-26 12:49:36 - 2020-05-26 13:29:16,230.804,Walking,2.401,2380.203,36.024,614.651,591.577,1.000,0.000,0.000,0.000,0.000,101.628,107.192,6.356,,,,59.000,82.000
2020-05-27 08:04:58 - 2020-05-27 08:33:42,119.853,Walking,1.411,1724.405,39.140,612.083,597.722,1.000,0.000,0.000,0.000,0.000,99.531,105.000,4.826,,,,67.000,76.000
2020-05-27 13:39:12 - 2020-05-27 13:52:37,85.673,Walking,0.908,805.139,6.562,613.672,588.063,1.000,0.000,0.000,0.000,0.000,101.076,103.347,6.921,,,,54.000,81.000
2020-05-27 13:52:52 - 2020-05-27 14:00:33,80.654,Running,0.866,460.973,7.119,622.606,574.427,0.000,0.000,1.000,0.000,0.000,145.171,145.171,10.739,,,,53.000,81.000
2020-05-27 19:01:07 - 2020-05-27 19:13:29,84.176,Walking,0.865,742.198,36.877,611.643,548.374,0.500,0.000,0.500,0.000,0.000,125.712,147.530,7.297,,,,65.000,74.000
2020-05-28 15:49:50 - 2020-05-28 16:49:21,266.834,Walking,3.474,3570.426,67.749,608.094,592.235,1.000,0.000,0.000,0.000,0.000,96.216,97.902,5.178,,,,49.000,81.000
2020-05-28 19:36:22 - 2020-05-28 19:59:20,146.331,Walking,1.359,1378.145,184.350,601.517,595.580,1.000,0.000,0.000,0.000,0.000,101.230,106.280,6.838,,,,87.000,67.000
2020-05-29 08:13:18 - 2020-05-29 08:39:19,128.392,Walking,1.394,1561.150,42.717,632.771,597.067,1.000,0.000,0.000,0.000,0.000,98.520,100.433,5.521,,,,75.000,62.000
2020-05-29 11:17:05 - 2020-05-29 11:32:02,73.266,Walking,0.989,896.477,15.092,605.091,586.750,1.000,0.000,0.000,0.000,0.000,100.592,101.198,5.580,,,,57.000,71.000
2020-05-29 11:33:07 - 2020-05-29 11:39:56,96.645,Running,1.024,409.064,,615.670,590.939,0.000,0.000,0.000,1.000,0.000,171.038,171.038,13.935,,,,57.000,71.000
2020-05-29 17:54:47 - 2020-05-29 18:15:30,140.192,Walking,1.325,1242.651,,610.248,597.224,1.000,0.000,0.000,0.000,0.000,106.573,106.845,7.196,,,,61.000,65.000
2020-05-31 09:16:50 - 2020-05-31 09:51:22,196.424,Walking,2.077,2072.644,66.273,900.670,847.774,1.000,0.000,0.000,0.000,0.000,92.502,94.915,6.266,,,,,
2020-06-03 16:03:03 - 2020-06-03 17:00:40,352.628,Walking,4.128,3456.721,60.794,616.454,590.925,0.833,0.000,0.167,0.000,0.000,111.876,154.799,6.641,,,,44.000,82.000
2020-06-04 17:47:34 - 2020-06-04 18:18:00,140.249,Walking,1.527,1826.051,174.606,607.533,594.280,1.000,0.000,0.000,0.000,0.000,91.401,98.628,5.661,,,,52.000,80.000
2020-06-05 07:57:18 - 2020-06-05 08:21:50,116.237,Walking,1.359,1472.289,39.370,623.715,597.965,1.000,0.000,0.000,0.000,0.000,97.400,106.195,6.039,,,,77.000,75.000
2020-06-05 13:26:26 - 2020-06-05 13:50:11,150.181,Walking,1.466,1424.405,14.239,607.888,591.510,0.333,0.667,0.000,0.000,0.000,116.688,121.231,6.790,,,,44.000,87.000
2020-06-05 13:50:25 - 2020-06-05 13:56:34,82.518,Running,0.781,369.180,,601.653,593.751,0.000,0.000,0.000,1.000,0.000,169.120,169.120,13.364,,,,42.000,88.000
2020-06-05 18:06:21 - 2020-06-05 18:27:47,118.265,Walking,1.342,1286.401,12.500,602.545,542.638,1.000,0.000,0.000,0.000,0.000,109.159,114.779,6.137,,,,45.000,86.000
2020-06-06 11:54:35 - 2020-06-06 13:10:32,115.614,Walking,1.347,1574.691,39.206,623.742,597.863,1.000,0.000,0.000,0.000,0.000,97.400,100.261,5.482,,,,55.000,67.000
2020-06-06 13:14:21 - 2020-06-06 13:45:07,167.694,Walking,1.857,1845.422,13.123,612.319,595.598,1.000,0.000,0.000,0.000,0.000,102.808,107.621,6.563,,,,59.000,67.000
2020-06-08 07:43:56 - 2020-06-08 08:14:47,190.634,Walking,2.091,1850.603,7.448,608.041,591.550,1.000,0.000,0.000,0.000,0.000,97.285,100.918,6.703,,,,56.000,71.000
2020-06-08 17:42:22 - 2020-06-08 18:02:00,102.642,Walking,1.322,1178.134,6.726,601.511,582.798,1.000,0.000,0.000,0.000,0.000,101.288,105.484,5.895,,,,36.000,82.000
2020-06-09 07:50:04 - 2020-06-09 08:15:30,132.203,Walking,1.323,1525.903,38.058,604.950,597.803,1.000,0.000,0.000,0.000,0.000,91.238,101.634,6.636,,,,55.000,75.000
2020-06-10 08:16:26 - 2020-06-10 08:27:34,145.452,Running,1.523,651.815,8.891,603.625,551.584,0.000,0.000,0.000,1.000,0.000,171.415,171.415,12.934,,,,82.000,76.000
2020-06-10 08:27:43 - 2020-06-10 08:36:24,63.225,Walking,0.586,521.154,29.921,617.037,594.742,0.000,0.000,1.000,0.000,0.000,146.012,146.012,7.758,,,,81.000,76.000
2020-06-10 18:44:34 - 2020-06-10 18:48:21,54.529,Running,0.567,226.868,,601.572,597.934,0.000,0.000,0.000,0.310,0.690,174.655,184.000,13.348,,,,65.000,68.000
2020-06-11 08:07:02 - 2020-06-11 08:28:28,101.738,Walking,1.163,1285.806,39.304,604.329,573.171,1.000,0.000,0.000,0.000,0.000,97.600,102.450,5.177,,,,63.000,65.000
2020-06-13 13:33:24 - 2020-06-13 14:08:12,154.166,Walking,1.601,2087.988,188.255,624.288,596.603,1.000,0.000,0.000,0.000,0.000,107.202,112.337,4.941,,,,65.000,61.000
2020-06-16 16:41:40 - 2020-06-16 17:03:16,125.646,Cycling,4.484,1295.862,13.517,602.288,577.888,0.000,0.000,0.500,0.500,0.000,154.649,156.135,6.400,,,,56.000,73.000
2020-06-17 07:43:13 - 2020-06-17 08:05:06,96.113,Walking,1.306,1313.442,,603.257,560.686,1.000,0.000,0.000,0.000,0.000,100.348,108.000,5.128,,,,61.000,73.000
2020-06-17 13:24:58 - 2020-06-17 13:32:24,97.837,Running,1.014,446.354,8.563,602.362,579.861,0.000,0.000,0.000,1.000,0.000,158.481,158.481,12.949,,,,47.000,79.000
2020-06-17 13:34:10 - 2020-06-17 13:41:24,99.251,Running,1.053,415.403,,600.253,565.112,0.000,0.000,0.000,1.000,0.000,174.964,174.964,13.669,,,,46.000,80.000
2020-06-18 08:29:54 - 2020-06-18 08:54:58,111.585,Walking,1.240,1503.938,,601.432,597.789,1.000,0.000,0.000,0.000,0.000,94.018,102.132,5.859,,,,48.000,77.000
2020-06-18 16:45:32 - 2020-06-18 16:57:32,45.686,Walking,0.622,719.913,,598.281,597.728,1.000,0.000,0.000,0.000,0.000,96.275,101.649,6.117,,,,37.000,81.000
2020-06-18 17:43:26 - 2020-06-18 17:58:18,57.595,Walking,0.670,892.520,42.717,629.950,593.598,1.000,0.000,0.000,0.000,0.000,98.483,98.886,4.590,,,,39.000,80.000
2020-06-20 09:11:37 - 2020-06-20 09:38:16,118.309,Walking,1.634,1599.161,7.776,603.338,568.374,1.000,0.000,0.000,0.000,0.000,93.999,95.123,5.204,,,,49.000,82.000
2020-06-22 07:29:41 - 2020-06-22 08:02:50,148.980,Walking,2.057,1989.405,6.562,603.829,579.015,1.000,0.000,0.000,0.000,0.000,89.917,91.880,5.196,,,,84.000,72.000
2020-06-23 08:14:45 - 2020-06-24 07:23:11,118.055,Walking,1.426,1546.752,35.958,610.526,594.076,1.000,0.000,0.000,0.000,0.000,81.979,90.367,5.882,,,,86.000,63.000
2020-06-25 08:08:08 - 2020-06-25 08:39:58,164.804,Walking,2.156,1909.839,,615.607,574.523,1.000,0.000,0.000,0.000,0.000,102.661,104.691,5.829,,,,68.000,69.000
2020-06-25 15:31:24 - 2020-06-25 15:56:19,148.786,Cycling,5.149,1495.062,29.331,600.421,586.735,0.000,0.000,0.667,0.333,0.000,149.601,161.063,6.576,,,,57.000,74.000
2020-06-25 19:10:12 - 2020-06-25 19:41:34,171.686,Walking,1.593,1881.871,7.940,599.129,591.562,0.949,0.051,0.000,0.000,0.000,107.282,129.000,6.113,,,,58.000,74.000
2020-06-26 08:46:49 - 2020-06-26 17:54:04,120.331,Walking (Indoor),1.330,1281.904,,,,0.392,0.608,0.000,0.000,0.000,116.694,127.000,6.855,,,,76.000,71.000
2020-06-26 17:56:24 - 2020-06-26 18:22:44,109.625,Walking,1.406,1579.890,54.199,595.168,586.358,1.000,0.000,0.000,0.000,0.000,95.318,96.865,4.645,,,,77.000,77.000
2020-06-29 08:42:38 - 2020-06-29 08:57:46,77.108,Walking,0.971,908.868,16.404,600.770,586.059,1.000,0.000,0.000,0.000,0.000,98.044,99.630,5.731,,,,74.000,82.000
2020-06-29 09:07:21 - 2020-06-29 09:12:48,72.056,Running,0.727,326.448,,597.895,589.868,0.000,0.000,0.000,0.000,1.000,178.628,178.628,13.273,,,,73.000,82.000
2020-06-30 06:57:56 - 2020-06-30 07:30:56,167.518,Walking,2.234,1980.583,32.054,601.189,562.744,1.000,0.000,0.000,0.000,0.000,91.915,94.988,5.736,,,,85.000,74.000
2020-06-30 18:33:13 - 2020-06-30 18:58:33,108.649,Walking,1.337,1520.384,177.133,623.712,575.447,1.000,0.000,0.000,0.000,0.000,99.166,105.513,4.995,,,,67.000,83.000
2020-07-01 08:24:57 - 2020-07-01 08:51:31,135.441,Walking,1.450,1594.216,37.795,604.401,594.151,1.000,0.000,0.000,0.000,0.000,90.178,99.000,6.625,,,,68.000,77.000
2020-07-01 16:56:49 - 2020-07-01 17:58:33,309.070,Walking,4.013,3704.470,29.396,601.766,585.456,1.000,0.000,0.000,0.000,0.000,103.965,106.034,5.652,,,,61.000,81.000
2020-07-02 17:56:18 - 2020-07-02 18:46:48,281.792,Walking,2.952,3029.858,,602.079,595.970,1.000,0.000,0.000,0.000,0.000,106.903,113.000,6.551,,,,62.000,81.000
2020-07-03 08:33:37 - 2020-07-03 08:59:25,109.665,Walking,1.361,1547.319,35.597,598.514,594.113,1.000,0.000,0.000,0.000,0.000,92.314,105.140,5.664,,,,63.000,80.000
2020-07-03 15:41:45 - 2020-07-03 15:56:26,172.296,Running,1.800,789.092,43.176,895.345,858.428,0.000,0.000,0.000,0.500,0.500,178.875,186.500,11.791,,,,39.000,88.000
2020-07-03 15:56:35 - 2020-07-03 15:58:26,9.498,Walking,0.097,111.315,7.480,892.369,879.931,0.000,0.000,0.666,0.286,0.048,152.333,181.000,5.872,,,,39.000,88.000
2020-07-05 16:15:08 - 2020-07-05 16:38:18,105.614,Walking,1.401,1389.871,,631.545,590.647,1.000,0.000,0.000,0.000,0.000,95.201,99.474,5.497,,,,50.000,86.000
2020-07-05 21:11:38 - 2020-07-05 21:43:01,115.481,Walking,1.503,1883.500,27.690,610.669,594.033,1.000,0.000,0.000,0.000,0.000,97.214,110.000,4.394,,,,61.000,81.000
2020-07-06 12:04:55 - 2020-07-06 13:02:02,283.040,Walking,3.490,3427.048,56.266,618.118,568.601,1.000,0.000,0.000,0.000,0.000,104.322,112.130,5.623,,,,49.000,87.000
2020-07-08 11:43:21 - 2020-07-08 12:00:36,65.791,Walking,0.730,1034.402,,595.879,572.447,1.000,0.000,0.000,0.000,0.000,82.581,85.228,4.517,,,,74.000,83.000
2020-07-08 12:03:09 - 2020-07-08 12:16:51,70.364,Walking,0.810,821.222,40.518,614.801,593.417,1.000,0.000,0.000,0.000,0.000,94.357,101.428,7.513,,,,74.000,83.000
2020-07-09 14:59:16 - 2020-07-09 15:36:37,458.391,HIIT,,2241.328,,,,0.000,0.000,0.250,0.750,0.000,158.942,168.398,12.019,,,,51.000,91.000
2020-07-09 19:49:09 - 2020-07-09 20:19:09,127.151,Walking,1.411,1799.844,179.560,595.567,591.485,0.000,1.000,0.000,0.000,0.000,121.793,125.639,5.255,,,,66.000,85.000
2020-07-10 07:27:44 - 2020-07-10 07:55:05,122.609,Walking,1.418,1640.574,40.584,599.810,593.663,1.000,0.000,0.000,0.000,0.000,89.794,96.398,5.663,,,,100.000,70.000
2020-07-10 17:18:02 - 2020-07-10 18:19:56,304.398,Walking,3.109,3714.342,179.331,595.516,586.236,0.000,1.000,0.000,0.000,0.000,122.435,126.341,5.649,,,,53.000,84.000
2020-07-12 12:52:47 - 2020-07-12 12:58:42,69.974,Swimming,0.056,355.467,,659.646,593.083,0.286,0.714,0.000,0.000,0.000,123.429,132.000,,,,194.000,67.000,74.000
2020-07-12 20:03:17 - 2020-07-12 20:36:00,131.686,Walking,1.514,1962.026,35.269,627.650,593.761,1.000,0.000,0.000,0.000,0.000,92.046,106.000,4.626,,,,77.000,70.000
2020-07-13 07:14:18 - 2020-07-13 07:57:36,203.012,Walking,1.973,1955.160,38.451,607.867,569.792,0.500,0.250,0.250,0.000,0.000,110.045,135.193,10.062,,,,82.000,70.000
2020-07-13 13:26:00 - 2020-07-13 13:41:14,70.518,Walking,0.944,913.237,8.333,598.224,576.989,1.000,0.000,0.000,0.000,0.000,97.682,99.210,5.311,,,,66.000,76.000
2020-07-14 17:38:33 - 2020-07-14 18:27:03,250.182,Walking,2.654,2909.974,14.600,609.313,575.804,1.000,0.000,0.000,0.000,0.000,95.069,100.895,6.079,,,,45.000,85.000
2020-07-14 21:38:25 - 2020-07-14 22:27:37,246.900,Walking,2.530,2951.747,56.955,606.766,589.361,0.875,0.125,0.000,0.000,0.000,110.169,117.000,5.885,,,,63.000,78.000
2020-07-15 18:33:51 - 2020-07-15 19:03:54,129.327,Walking,1.337,1802.984,175.951,606.956,591.347,1.000,0.000,0.000,0.000,0.000,107.026,109.868,5.281,,,,97.000,75.000
2020-07-16 07:56:43 - 2020-07-16 08:40:26,180.323,Walking,1.727,2622.643,34.580,629.993,594.237,0.889,0.111,0.000,0.000,0.000,91.885,117.991,4.889,,,,99.000,68.000
2020-07-16 17:45:35 - 2020-07-16 18:58:02,334.209,Walking,4.028,4347.507,61.516,639.117,580.394,1.000,0.000,0.000,0.000,0.000,92.876,99.197,5.288,,,,73.000,75.000
2020-07-17 07:37:07 - 2020-07-17 07:53:43,72.879,Walking,1.005,995.295,,600.480,566.320,1.000,0.000,0.000,0.000,0.000,87.594,89.894,5.107,,,,86.000,73.000
2020-07-17 08:07:48 - 2020-07-17 08:12:43,55.997,Running,0.626,236.467,,598.167,555.248,0.000,0.000,1.000,0.000,0.000,154.000,154.000,12.071,,,,83.000,75.000
2020-07-17 08:13:13 - 2020-07-17 08:21:56,40.175,Walking,0.363,523.358,42.093,620.380,590.141,0.000,1.000,0.000,0.000,0.000,134.181,134.181,5.288,,,,81.000,76.000
2020-07-17 19:13:52 - 2020-07-17 19:32:11,94.702,Cycling,2.504,1098.978,11.877,602.195,582.602,0.000,0.000,1.000,0.000,0.000,141.562,144.925,6.798,,,,55.000,85.000
2020-07-18 00:09:03 - 2020-07-18 00:39:07,145.142,Walking,1.493,1804.513,40.256,623.816,593.781,1.000,0.000,0.000,0.000,0.000,112.126,113.649,6.156,,,,73.000,80.000
2020-07-18 14:13:20 - 2020-07-18 14:56:11,209.959,Walking,2.288,2570.988,48.097,607.693,585.196,1.000,0.000,0.000,0.000,0.000,97.151,104.113,5.537,,,,63.000,89.000
2020-07-19 09:12:23 - 2020-07-19 09:34:14,96.213,Walking,1.205,1310.443,40.322,611.289,589.677,1.000,0.000,0.000,0.000,0.000,88.554,100.174,5.142,,,,93.000,76.000
2020-07-19 13:49:41 - 2020-07-19 14:12:59,93.991,Walking,1.255,1397.698,186.549,598.647,587.320,1.000,0.000,0.000,0.000,0.000,94.175,98.382,4.504,,,,100.000,71.000
2020-07-20 07:37:35 - 2020-07-20 08:01:25,104.027,Walking,1.325,1430.114,40.846,603.561,594.065,1.000,0.000,0.000,0.000,0.000,89.551,95.579,5.552,,,,73.000,73.000
2020-07-20 17:05:36 - 2020-07-20 17:51:25,393.735,HIIT,,2749.000,,,,0.500,0.500,0.000,0.000,0.000,119.403,126.806,8.790,,,,66.000,78.000
2020-07-20 20:32:15 - 2020-07-20 20:59:40,112.414,Walking,1.375,1644.199,175.525,595.147,591.648,1.000,0.000,0.000,0.000,0.000,97.886,100.000,5.248,,,,76.000,74.000
2020-07-21 08:01:40 - 2020-07-21 08:28:21,118.944,Walking,1.450,1600.855,36.483,601.200,593.622,1.000,0.000,0.000,0.000,0.000,89.035,96.000,5.784,,,,70.000,73.000
2020-07-21 17:44:22 - 2020-07-21 18:07:18,121.657,Walking,1.393,1376.414,,595.660,591.724,1.000,0.000,0.000,0.000,0.000,85.593,92.686,6.824,,,,71.000,78.000
2020-07-21 18:16:47 - 2020-07-21 18:21:56,37.476,Rowing,,308.909,,,,0.000,0.000,1.000,0.000,0.000,147.741,147.741,7.727,,,,77.000,76.000
2020-07-22 08:06:50 - 2020-07-22 08:33:18,108.621,Walking,1.444,1587.609,38.615,597.449,594.168,1.000,0.000,0.000,0.000,0.000,88.643,98.376,5.210,,,,94.000,73.000
2020-07-23 11:45:13 - 2020-07-23 12:21:14,220.290,Walking,2.535,2160.864,,595.770,552.560,0.750,0.000,0.250,0.000,0.000,106.915,143.559,6.664,,,,60.000,76.000
2020-07-23 13:07:34 - 2020-07-23 13:33:51,138.728,Walking,1.424,1576.898,40.453,647.205,594.167,0.833,0.167,0.000,0.000,0.000,106.638,117.346,6.310,,,,62.000,75.000
2020-07-23 18:18:58 - 2020-07-23 18:39:22,114.827,Walking,1.279,1224.739,,606.178,565.850,1.000,0.000,0.000,0.000,0.000,93.517,95.629,6.263,,,,68.000,76.000
2020-07-23 18:48:01 - 2020-07-23 18:55:08,34.845,Rowing,,427.021,,,,0.000,0.000,1.000,0.000,0.000,141.521,141.521,6.989,,,,70.000,76.000
2020-07-24 08:04:58 - 2020-07-24 08:35:58,123.612,Walking,1.418,1859.609,42.290,624.754,594.076,1.000,0.000,0.000,0.000,0.000,92.358,102.000,4.749,,,,92.000,70.000
2020-07-24 17:22:13 - 2020-07-24 17:58:08,155.525,Walking,1.746,2155.268,252.690,602.546,588.581,1.000,0.000,0.000,0.000,0.000,94.231,100.000,5.116,,,,71.000,79.000
2020-07-24 21:57:33 - 2020-07-24 22:28:53,141.838,Walking,1.348,1879.551,41.503,624.371,594.109,1.000,0.000,0.000,0.000,0.000,110.393,111.412,5.648,,,,90.000,74.000
2020-07-25 13:52:11 - 2020-07-25 14:23:38,127.614,Walking,1.471,1886.414,39.173,633.313,593.320,1.000,0.000,0.000,0.000,0.000,94.264,100.636,5.056,,,,54.000,86.000
2020-07-25 20:23:10 - 2020-07-25 21:30:25,286.376,Walking,3.689,4035.816,,609.636,594.115,1.000,0.000,0.000,0.000,0.000,97.797,101.000,5.094,,,,64.000,83.000
2020-07-26 12:24:48 - 2020-07-26 12:50:10,129.970,Walking,1.466,1514.212,47.408,609.506,589.975,1.000,0.000,0.000,0.000,0.000,96.447,108.696,6.693,,,,53.000,92.000
2020-07-26 17:57:59 - 2020-07-26 18:39:11,220.820,Walking,2.277,2471.562,61.450,624.958,586.742,1.000,0.000,0.000,0.000,0.000,101.459,105.228,5.946,,,,55.000,91.000
2020-07-27 17:51:29 - 2020-07-27 18:47:57,274.490,Walking,3.263,3387.561,35.827,604.339,573.860,1.000,0.000,0.000,0.000,0.000,97.598,102.093,5.540,,,,47.000,83.000
2020-07-28 08:08:14 - 2020-07-28 08:39:10,108.898,Walking,1.411,1856.079,40.617,604.236,594.133,1.000,0.000,0.000,0.000,0.000,94.753,105.000,4.411,,,,65.000,74.000
2020-07-28 16:01:57 - 2020-07-28 16:25:42,116.576,Walking,1.341,1425.098,,597.061,581.340,1.000,0.000,0.000,0.000,0.000,91.193,94.460,5.592,,,,45.000,87.000
2020-07-29 17:41:25 - 2020-07-29 18:24:26,172.347,Walking,1.909,2581.882,37.927,599.174,594.464,1.000,0.000,0.000,0.000,0.000,98.484,108.842,4.901,,,,76.000,78.000
2020-07-29 19:07:01 - 2020-07-29 19:43:34,142.608,Walking,1.708,2193.218,174.213,623.460,591.845,1.000,0.000,0.000,0.000,0.000,99.869,102.988,4.761,,,,75.000,77.000
2020-07-29 19:51:54 - 2020-07-29 20:26:55,141.873,Walking,1.617,2101.194,42.192,618.471,594.187,1.000,0.000,0.000,0.000,0.000,99.599,102.164,5.070,,,,79.000,76.000
2020-07-30 09:18:44 - 2020-07-30 09:43:15,99.845,Walking,1.354,1470.841,,595.545,592.049,1.000,0.000,0.000,0.000,0.000,94.450,99.000,5.187,,,,68.000,76.000
2020-07-31 09:55:20 - 2020-07-31 10:45:33,206.907,Walking,2.555,3013.514,64.862,662.306,596.105,1.000,0.000,0.000,0.000,0.000,91.589,100.000,5.566,,,,76.000,69.000
2020-08-03 17:32:46 - 2020-08-03 18:01:07,99.342,Walking,1.154,1701.471,181.759,600.509,582.525,1.000,0.000,0.000,0.000,0.000,101.103,104.506,4.140,,,,77.000,67.000
2020-08-03 18:14:19 - 2020-08-03 18:19:38,33.267,Rowing,,319.075,,,,0.000,0.000,1.000,0.000,0.000,136.668,136.668,6.842,,,,80.000,66.000
2020-08-04 08:06:31 - 2020-08-04 08:37:06,110.211,Walking,1.295,1834.979,37.205,607.406,594.183,1.000,0.000,0.000,0.000,0.000,87.056,90.000,4.411,,,,83.000,60.000
2020-08-04 18:07:27 - 2020-08-04 18:39:35,126.509,Walking,1.381,1927.921,184.055,624.868,591.702,1.000,0.000,0.000,0.000,0.000,100.543,105.000,4.981,,,,53.000,68.000
2020-08-05 08:15:12 - 2020-08-05 08:44:39,113.397,Walking,1.340,1767.125,40.322,625.552,594.121,1.000,0.000,0.000,0.000,0.000,83.120,90.237,4.915,,,,65.000,65.000
2020-08-05 19:48:41 - 2020-08-05 20:14:16,84.657,Walking,1.154,1534.231,180.643,624.428,564.730,1.000,0.000,0.000,0.000,0.000,81.161,84.000,3.983,,,,57.000,71.000
2020-08-06 07:56:58 - 2020-08-06 08:23:14,103.180,Walking,1.378,1576.512,39.534,599.517,594.168,1.000,0.000,0.000,0.000,0.000,89.643,96.000,5.134,,,,71.000,68.000
