Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Weather: Humidity(%),Weather: Temperature(degF)
2021-08-21 08:27:23 - 2021-08-21 08:41:26,53.678,Walking,0.730,843.330,16.404,613.247,594.070,1.000,0.000,0.000,0.000,0.000,88.802,89.853,4.675,,,72.000,78.800
2021-08-21 08:53:32 - 2021-08-21 09:07:09,63.351,Walking,0.743,817.080,,610.195,588.971,1.000,0.000,0.000,0.000,0.000,89.277,89.577,5.350,,,67.000,80.600
2021-08-21 09:07:26 - 2021-08-21 09:16:57,64.511,Functional Strength Training,,570.893,,,,0.000,1.000,0.000,0.000,0.000,118.790,118.790,7.262,,,66.000,82.400
2021-08-21 09:17:02 - 2021-08-21 09:25:33,41.541,Walking,0.439,510.742,8.465,601.370,589.424,1.000,0.000,0.000,0.000,0.000,102.444,102.444,5.595,,,65.000,82.400
2021-08-21 11:47:10 - 2021-08-21 12:16:47,111.803,Walking,1.237,1694.985,14.206,608.451,587.971,1.000,0.000,0.000,0.000,0.000,94.418,98.646,4.571,,,52.000,87.800
2021-08-22 11:50:27 - 2021-08-22 12:03:53,55.238,Walking,0.610,806.080,,602.605,594.294,1.000,0.000,0.000,0.000,0.000,79.912,81.245,4.863,,,69.000,77.000
2021-08-22 13:02:28 - 2021-08-22 13:21:49,73.035,Walking,0.716,1160.425,5.446,602.012,594.188,1.000,0.000,0.000,0.000,0.000,85.461,86.495,4.460,,,68.000,78.800
2021-08-22 18:01:43 - 2021-08-22 18:16:40,68.930,Walking,0.686,896.718,19.915,628.376,594.658,1.000,0.000,0.000,0.000,0.000,88.722,89.993,5.262,,,68.000,77.000
2021-08-23 08:35:25 - 2021-08-23 08:49:18,50.883,Walking,0.648,833.230,17.192,601.495,588.599,1.000,0.000,0.000,0.000,0.000,96.204,98.351,4.475,,,76.000,73.400
2021-08-23 10:03:47 - 2021-08-23 10:48:48,327.443,Cycling (Indoor),,2701.008,,,,0.000,1.000,0.000,0.000,0.000,123.315,127.301,7.575,,,70.000,78.800
2021-08-23 10:03:48 - 2021-08-23 10:48:51,579.000,Cycling (Indoor),14.210,2703.000,,,,0.000,1.000,0.000,0.000,0.000,123.315,127.301,,18.900,20.700,,
2021-08-23 13:12:11 - 2021-08-23 13:22:11,,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-08-23 13:12:49 - 2021-08-23 13:22:58,50.176,Traditional Strength Training,,608.290,,,,1.000,0.000,0.000,0.000,0.000,94.073,94.073,3.955,,,50.000,86.000
2021-08-23 13:12:53 - 2021-08-23 13:22:53,,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-08-23 18:10:54 - 2021-08-23 18:20:49,25.399,Functional Strength Training,,595.418,,,,1.000,0.000,0.000,0.000,0.000,91.921,91.921,3.395,,,53.000,87.800
2021-08-23 18:11:13 - 2021-08-23 18:21:13,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,85.500,88.000,,,,,
2021-08-23 18:34:14 - 2021-08-23 18:51:49,118.697,Cycling,3.396,1055.423,50.755,628.507,583.934,0.000,1.000,0.000,0.000,0.000,128.264,131.376,7.381,,,54.000,87.800
2021-08-24 14:08:20 - 2021-08-24 14:27:12,88.659,Walking,0.951,1131.514,6.693,618.287,591.970,1.000,0.000,0.000,0.000,0.000,92.600,93.550,5.435,,,47.000,95.000
2021-08-28 16:17:44 - 2021-08-28 16:47:05,180.186,Functional Strength Training,,1760.712,,,,0.500,0.500,0.000,0.000,0.000,110.484,119.626,6.501,,,51.000,93.200
2021-08-29 12:22:00 - 2021-08-29 12:35:29,58.278,Walking,0.689,809.743,14.534,609.779,590.611,1.000,0.000,0.000,0.000,0.000,99.565,107.000,6.339,,,62.000,87.800
2021-08-29 15:14:25 - 2021-08-29 15:33:32,100.321,Yoga,,1146.591,,,,1.000,0.000,0.000,0.000,0.000,95.789,113.021,,,,88.000,73.400
2021-08-30 07:29:05 - 2021-08-30 07:46:12,56.680,Walking,0.839,1026.998,20.210,895.886,865.574,1.000,0.000,0.000,0.000,0.000,84.797,85.426,4.164,,,82.000,66.200
2021-09-01 12:14:30 - 2021-09-01 12:33:29,90.607,Walking,1.023,1139.540,,599.139,589.937,1.000,0.000,0.000,0.000,0.000,97.327,108.000,5.838,,,50.000,75.200
2021-09-02 08:18:44 - 2021-09-02 08:39:19,77.971,Walking,1.116,1234.861,10.138,609.694,575.210,1.000,0.000,0.000,0.000,0.000,92.575,93.229,4.620,,,63.000,69.800
2021-09-03 19:19:00 - 2021-09-03 19:42:16,96.053,Walking,1.153,1396.161,11.417,616.618,583.444,1.000,0.000,0.000,0.000,0.000,86.853,97.000,5.172,,,61.000,71.600
2021-09-04 15:21:50 - 2021-09-04 15:36:59,61.267,Walking,0.672,908.818,,,,0.000,0.032,0.831,0.137,0.000,148.211,168.000,5.270,,,,
2021-09-05 09:43:51 - 2021-09-05 09:44:18,0.607,Walking,0.016,27.020,,879.014,874.232,1.000,0.000,0.000,0.000,0.000,84.000,84.000,,,,,
2021-09-06 09:00:02 - 2021-09-06 09:37:32,197.122,Walking,2.093,2250.441,64.961,899.819,870.089,1.000,0.000,0.000,0.000,0.000,94.739,99.987,5.856,,,65.000,68.000
2021-09-06 12:03:55 - 2021-09-06 12:39:19,215.167,Functional Strength Training,,2123.729,,,,0.333,0.667,0.000,0.000,0.000,117.451,125.457,6.517,,,40.000,78.800
2021-09-08 18:00:45 - 2021-09-08 18:26:12,160.472,Cycling (Indoor),,1526.902,,,,0.333,0.667,0.000,0.000,0.000,116.087,127.169,6.753,,,44.000,75.200
2021-09-09 07:46:55 - 2021-09-09 07:58:42,45.714,Walking,0.652,707.886,9.055,612.822,587.647,1.000,0.000,0.000,0.000,0.000,90.629,91.742,4.750,,,75.000,60.800
2021-09-09 08:00:11 - 2021-09-09 08:20:58,97.023,Functional Strength Training,,1246.649,,,,0.500,0.500,0.000,0.000,0.000,113.499,119.808,5.383,,,,
2021-09-09 08:21:10 - 2021-09-09 08:32:57,52.693,Walking,0.645,707.138,10.039,606.017,580.265,1.000,0.000,0.000,0.000,0.000,108.730,108.730,5.209,,,,
2021-09-09 10:35:20 - 2021-09-09 11:20:20,384.838,Cycling (Indoor),,2700.087,,,,0.000,0.200,0.800,0.000,0.000,137.381,140.405,8.679,,,58.000,69.800
2021-09-09 14:22:55 - 2021-09-09 14:46:08,109.551,Walking,1.198,1393.280,27.625,603.117,589.373,1.000,0.000,0.000,0.000,0.000,96.367,101.016,5.365,,,50.000,71.600
2021-09-10 08:38:15 - 2021-09-10 09:01:51,87.456,Walking,0.905,1415.833,14.304,602.346,555.920,0.968,0.032,0.000,0.000,0.000,102.430,129.000,4.519,,,67.000,66.200
2021-09-10 14:19:17 - 2021-09-10 14:29:29,40.721,Walking,0.484,612.136,,,,0.988,0.000,0.012,0.000,0.000,92.890,140.000,4.976,,,,
2021-09-13 08:07:54 - 2021-09-13 08:39:30,120.640,Walking,1.713,1896.561,27.690,628.315,588.372,1.000,0.000,0.000,0.000,0.000,89.944,93.769,4.611,,,81.000,73.400
2021-09-13 10:09:21 - 2021-09-13 10:54:22,364.387,Cycling (Indoor),,2701.217,,,,0.000,1.000,0.000,0.000,0.000,131.282,133.679,8.282,,,74.000,75.200
2021-09-13 17:22:33 - 2021-09-13 17:53:34,118.595,Pilates,,1861.422,,,,1.000,0.000,0.000,0.000,0.000,88.440,93.387,1.945,,,47.000,86.000
2021-09-13 17:57:44 - 2021-09-13 18:08:09,38.395,Traditional Strength Training,,625.364,,,,1.000,0.000,0.000,0.000,0.000,92.467,92.467,1.941,,,60.000,80.600
2021-09-13 18:43:35 - 2021-09-13 19:13:42,165.484,Walking,1.781,1807.010,18.471,617.240,575.330,1.000,0.000,0.000,0.000,0.000,100.628,103.746,6.037,,,71.000,75.200
2021-09-13 22:41:54 - 2021-09-13 23:13:09,145.077,Walking,1.803,1874.382,24.114,614.598,593.255,0.979,0.021,0.000,0.000,0.000,104.062,116.000,6.706,,,72.000,73.400
2021-09-14 11:36:44 - 2021-09-14 11:57:54,87.985,Walking,1.189,1270.250,20.636,609.033,592.708,1.000,0.000,0.000,0.000,0.000,86.246,88.324,4.877,,,56.000,84.200
2021-09-15 08:00:31 - 2021-09-15 08:18:59,74.150,Walking,1.045,1108.643,8.858,615.379,590.456,1.000,0.000,0.000,0.000,0.000,93.994,94.556,4.840,,,75.000,64.400
2021-09-15 13:05:32 - 2021-09-15 13:56:15,537.127,Cycling (Indoor),,3043.227,,,,0.000,0.000,0.800,0.200,0.000,148.000,164.444,10.440,,,39.000,75.200
2021-09-15 17:26:40 - 2021-09-15 17:33:54,45.575,Functional Strength Training,,433.613,,,,0.000,1.000,0.000,0.000,0.000,115.506,115.506,6.825,,,48.000,73.400
2021-09-15 17:38:18 - 2021-09-15 18:03:41,104.874,Walking,1.107,1522.924,,601.950,593.563,1.000,0.000,0.000,0.000,0.000,99.202,102.000,5.133,,,50.000,71.600
2021-09-16 07:53:33 - 2021-09-16 08:13:56,91.716,Walking,1.091,1222.115,26.148,599.294,588.332,1.000,0.000,0.000,0.000,0.000,92.420,93.854,5.198,,,63.000,64.400
2021-09-16 17:04:25 - 2021-09-16 17:24:52,86.291,Barre,,1226.784,,,,1.000,0.000,0.000,0.000,0.000,105.077,108.205,2.882,,,42.000,80.600
2021-09-17 08:36:09 - 2021-09-17 08:58:13,78.258,Walking,1.066,1221.396,,610.985,592.249,1.000,0.000,0.000,0.000,0.000,89.835,91.997,4.376,,,76.000,71.600
2021-09-17 16:28:51 - 2021-09-17 20:21:48,26.296,Functional Strength Training,,503.828,,,,1.000,0.000,0.000,0.000,0.000,77.312,92.624,4.392,,,31.000,89.600
2021-09-18 10:09:11 - 2021-09-18 10:51:33,171.932,Functional Strength Training,,2541.857,,,,1.000,0.000,0.000,0.000,0.000,99.503,105.192,4.768,,,75.000,71.600
2021-09-18 11:43:13 - 2021-09-18 12:08:48,127.943,Walking,1.405,1535.672,8.957,608.370,588.883,1.000,0.000,0.000,0.000,0.000,100.248,101.003,5.639,,,74.000,71.600
2021-09-18 12:20:08 - 2021-09-18 12:35:17,53.623,Walking,0.684,908.703,,606.096,579.480,1.000,0.000,0.000,0.000,0.000,96.164,97.478,4.362,,,76.000,71.600
2021-09-18 12:36:46 - 2021-09-18 12:45:10,30.488,Walking,0.354,503.898,,637.398,592.269,1.000,0.000,0.000,0.000,0.000,96.956,96.956,4.481,,,74.000,71.600
2021-09-18 16:17:37 - 2021-09-18 16:30:43,48.671,Walking,0.625,785.814,,596.985,594.819,1.000,0.000,0.000,0.000,0.000,103.106,111.000,5.294,,,63.000,73.400
2021-09-18 19:12:42 - 2021-09-18 19:41:43,128.193,Walking,1.451,1741.088,,600.979,586.406,1.000,0.000,0.000,0.000,0.000,96.960,98.606,5.115,,,67.000,69.800
2021-09-19 10:33:06 - 2021-09-19 11:01:30,27.334,Walking,0.304,631.234,6.660,612.206,594.460,1.000,0.000,0.000,0.000,0.000,89.180,92.535,3.410,,,60.000,78.800
2021-09-19 13:00:16 - 2021-09-19 13:46:31,309.395,Traditional Strength Training,,2774.654,,,,0.000,1.000,0.000,0.000,0.000,122.075,132.300,6.034,,,54.000,82.400
2021-09-19 14:23:40 - 2021-09-19 14:35:21,58.619,Walking,0.629,700.901,,609.510,591.925,1.000,0.000,0.000,0.000,0.000,95.671,96.046,5.662,,,53.000,84.200
2021-09-20 08:25:46 - 2021-09-20 09:10:49,437.428,Cycling (Indoor),,2703.124,,,,0.000,0.200,0.800,0.000,0.000,139.397,148.320,9.681,,,83.000,73.400
2021-09-20 16:36:59 - 2021-09-20 16:58:07,78.984,Pilates,,1267.388,,,,1.000,0.000,0.000,0.000,0.000,84.889,89.273,1.724,,,64.000,80.600
2021-09-21 05:12:23 - 2021-09-21 05:20:39,7.451,Walking,,495.733,,606.814,606.814,1.000,0.000,0.000,0.000,0.000,50.898,50.898,1.600,,,94.000,66.200
2021-09-21 10:58:28 - 2021-09-21 11:09:44,73.872,Traditional Strength Training,,676.463,,,,1.000,0.000,0.000,0.000,0.000,113.186,113.186,6.372,,,79.000,64.400
2021-09-21 16:09:14 - 2021-09-21 17:03:34,229.481,Traditional Strength Training,,3259.458,,,,1.000,0.000,0.000,0.000,0.000,105.440,108.184,2.713,,,71.000,64.400
2021-09-22 08:55:55 - 2021-09-22 09:03:12,42.110,Walking,0.511,437.869,,616.385,594.289,1.000,0.000,0.000,0.000,0.000,100.553,100.553,6.379,,,69.000,60.800
2021-09-22 11:23:23 - 2021-09-22 11:34:31,55.281,Traditional Strength Training,,667.635,,,,1.000,0.000,0.000,0.000,0.000,104.548,104.548,4.176,,,82.000,55.400
2021-09-22 11:51:34 - 2021-09-22 12:48:36,637.973,Cycling (Indoor),,3421.416,,,,0.000,0.000,0.667,0.333,0.000,152.794,164.673,10.963,,,79.000,55.400
2021-09-22 15:28:03 - 2021-09-22 15:41:18,60.409,Yoga,,795.240,,,,1.000,0.000,0.000,0.000,0.000,84.174,85.623,4.936,,,68.000,60.800
2021-09-23 08:02:47 - 2021-09-23 08:12:52,55.511,Walking,0.606,604.395,9.383,617.113,576.450,1.000,0.000,0.000,0.000,0.000,99.016,99.016,6.133,,,69.000,53.600
2021-09-23 08:13:12 - 2021-09-23 08:25:53,73.008,Functional Strength Training,,761.171,,,,0.000,1.000,0.000,0.000,0.000,132.335,132.335,6.383,,,,
2021-09-23 08:26:01 - 2021-09-23 08:37:14,54.772,Walking,0.608,672.302,10.072,614.159,581.519,1.000,0.000,0.000,0.000,0.000,108.489,108.489,5.549,,,,
2021-09-23 12:03:03 - 2021-09-23 12:14:01,40.979,Traditional Strength Training,,657.948,,,,1.000,0.000,0.000,0.000,0.000,100.566,100.566,2.527,,,59.000,59.000
2021-09-24 16:36:10 - 2021-09-24 17:14:51,172.577,Walking,1.757,2321.672,53.248,617.495,590.310,1.000,0.000,0.000,0.000,0.000,92.592,100.320,5.089,,,35.000,78.800
2021-09-26 09:13:22 - 2021-09-26 09:22:26,30.462,Walking,0.374,544.326,,604.076,594.301,1.000,0.000,0.000,0.000,0.000,84.174,84.174,4.294,,,50.000,62.600
2021-09-27 07:36:07 - 2021-09-27 07:36:58,0.474,Walking,0.042,51.246,,602.380,598.733,1.000,0.000,0.000,0.000,0.000,88.625,90.000,,,,,
2021-09-28 22:54:27 - 2021-09-28 22:59:52,36.188,Cycling,1.096,325.458,0.853,611.269,580.404,0.000,0.000,1.000,0.000,0.000,150.879,150.879,7.361,,,79.000,64.400
2021-09-29 14:25:56 - 2021-09-29 14:46:48,91.639,Walking,1.227,1251.845,10.269,641.887,592.994,1.000,0.000,0.000,0.000,0.000,93.659,95.806,5.089,,,47.000,75.200
2021-09-30 08:36:59 - 2021-09-30 08:47:20,52.475,Walking,0.605,620.828,10.400,616.441,595.630,1.000,0.000,0.000,0.000,0.000,90.581,90.581,5.716,,,63.000,66.200
2021-09-30 08:47:26 - 2021-09-30 08:52:57,24.646,Functional Strength Training,,331.659,,,,1.000,0.000,0.000,0.000,0.000,104.125,104.125,5.223,,,,
2021-09-30 08:53:01 - 2021-09-30 09:03:09,42.266,Walking,0.602,608.023,10.072,613.555,591.793,1.000,0.000,0.000,0.000,0.000,95.129,95.129,5.010,,,,
2021-09-30 13:19:48 - 2021-09-30 14:04:50,442.076,Cycling (Indoor),,2702.297,,,,0.000,0.000,1.000,0.000,0.000,139.948,142.139,9.776,,,57.000,73.400
2021-10-01 10:11:29 - 2021-10-01 10:24:40,66.438,Walking,0.770,791.086,8.760,620.626,599.422,1.000,0.000,0.000,0.000,0.000,105.372,105.372,5.712,,,60.000,71.600
2021-10-01 14:38:12 - 2021-10-01 14:55:18,45.221,Walking,0.586,1025.612,,606.404,593.902,0.978,0.022,0.000,0.000,0.000,106.978,116.000,5.983,,,,
2021-10-01 15:18:12 - 2021-10-01 15:44:35,137.396,Walking,1.406,1582.355,17.979,618.471,589.755,1.000,0.000,0.000,0.000,0.000,105.898,107.535,5.806,,,54.000,78.800
2021-10-02 08:40:51 - 2021-10-02 08:51:25,40.280,Walking,0.593,634.096,10.269,627.608,594.320,1.000,0.000,0.000,0.000,0.000,93.598,93.598,4.703,,,69.000,71.600
2021-10-02 08:52:18 - 2021-10-02 08:58:52,59.561,HIIT,,393.295,,,,0.000,0.000,1.000,0.000,0.000,135.060,135.060,9.279,,,,
2021-10-02 08:59:25 - 2021-10-02 09:26:03,183.264,Functional Strength Training,,1597.621,,,,0.000,0.667,0.333,0.000,0.000,130.221,135.638,7.258,,,,
2021-10-02 09:26:11 - 2021-10-02 09:27:55,6.697,Walking,0.076,104.800,,593.985,584.016,0.000,1.000,0.000,0.000,0.000,123.571,135.000,4.865,,,,
2021-10-02 09:28:05 - 2021-10-02 09:31:32,48.171,Running,0.497,206.622,10.203,604.054,586.584,0.000,0.098,0.098,0.780,0.024,163.073,176.000,14.087,,,,
2021-10-02 12:46:38 - 2021-10-02 13:10:27,61.927,Walking,0.610,1429.417,7.710,601.825,594.281,1.000,0.000,0.000,0.000,0.000,108.445,115.000,2.966,,,60.000,80.600
2021-10-04 14:16:49 - 2021-10-04 15:00:27,229.054,Walking,2.521,2617.962,25.328,615.060,578.055,1.000,0.000,0.000,0.000,0.000,94.070,97.469,5.845,,,77.000,69.800
2021-10-06 13:36:50 - 2021-10-06 14:21:50,423.014,Cycling (Indoor),,2700.489,,,,0.000,0.400,0.600,0.000,0.000,135.994,140.540,9.410,,,86.000,66.200
2021-10-06 13:36:52 - 2021-10-06 14:21:54,586.000,Cycling (Indoor),14.280,2702.000,,,,0.000,0.500,0.500,0.000,0.000,135.328,140.540,,19.100,20.900,,
2021-10-06 18:11:33 - 2021-10-06 18:21:34,50.207,Traditional Strength Training,,601.013,,,,1.000,0.000,0.000,0.000,0.000,110.891,110.891,3.926,,,87.000,66.200
2021-10-07 12:17:23 - 2021-10-07 12:28:40,78.107,Traditional Strength Training,,676.985,,,,0.000,1.000,0.000,0.000,0.000,128.446,128.446,6.485,,,91.000,68.000
2021-10-07 12:17:28 - 2021-10-07 12:27:28,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-10-07 13:10:51 - 2021-10-07 13:23:14,48.461,Walking,0.628,743.621,12.500,607.786,591.715,1.000,0.000,0.000,0.000,0.000,101.245,102.022,4.715,,,86.000,69.800
2021-10-07 13:24:14 - 2021-10-07 13:51:16,185.600,Functional Strength Training,,1621.924,,,,0.000,0.500,0.500,0.000,0.000,135.235,143.812,7.305,,,86.000,69.800
2021-10-07 13:52:28 - 2021-10-07 13:54:32,11.836,Functional Strength Training,,124.397,,,,0.000,0.000,0.680,0.320,0.000,149.480,164.000,6.850,,,86.000,69.800
2021-10-07 13:56:28 - 2021-10-07 14:09:25,56.088,Walking,0.611,777.400,18.406,605.042,594.663,0.000,1.000,0.000,0.000,0.000,117.320,117.320,5.093,,,85.000,69.800
2021-10-07 17:59:06 - 2021-10-07 18:13:53,48.642,Functional Strength Training,,886.864,,,,1.000,0.000,0.000,0.000,0.000,91.684,97.784,4.168,,,79.000,71.600
2021-10-08 07:38:49 - 2021-10-08 08:03:03,126.628,Walking,1.330,1454.408,27.100,609.450,584.150,1.000,0.000,0.000,0.000,0.000,96.923,98.272,5.846,,,89.000,64.400
2021-10-10 15:53:03 - 2021-10-10 16:17:08,119.514,Walking,1.287,1445.241,20.997,632.061,590.628,1.000,0.000,0.000,0.000,0.000,93.811,95.148,5.542,,,60.000,78.800
2021-10-11 07:46:40 - 2021-10-11 07:57:35,54.080,Walking,0.609,654.507,9.449,600.945,593.566,1.000,0.000,0.000,0.000,0.000,89.679,89.679,5.645,,,76.000,71.600
2021-10-11 07:57:45 - 2021-10-11 08:12:46,65.952,Functional Strength Training,,901.329,,,,0.500,0.500,0.000,0.000,0.000,109.534,121.616,5.230,,,76.000,71.600
2021-10-11 08:12:54 - 2021-10-11 08:23:49,53.981,Walking,0.613,655.360,16.240,600.250,588.254,0.000,1.000,0.000,0.000,0.000,115.814,115.814,5.634,,,76.000,71.600
2021-10-11 09:00:42 - 2021-10-11 09:12:00,47.065,Walking,0.585,678.048,15.026,607.076,584.782,1.000,0.000,0.000,0.000,0.000,93.713,93.713,4.945,,,76.000,73.400
2021-10-11 11:20:03 - 2021-10-11 11:31:10,54.909,Traditional Strength Training,,666.742,,,,1.000,0.000,0.000,0.000,0.000,110.472,110.472,4.112,,,69.000,75.200
2021-10-11 11:20:06 - 2021-10-11 11:30:06,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-10-11 11:53:46 - 2021-10-11 12:38:47,397.370,Cycling (Indoor),,2700.553,,,,0.000,1.000,0.000,0.000,0.000,130.472,131.945,8.914,,,67.000,77.000
2021-10-11 11:53:48 - 2021-10-11 12:38:50,581.000,Cycling (Indoor),14.230,2702.000,,,,0.000,1.000,0.000,0.000,0.000,130.226,131.945,,19.000,20.800,,
2021-10-11 17:17:50 - 2021-10-11 17:44:44,75.619,Walking,0.901,1613.834,7.776,599.870,587.841,1.000,0.000,0.000,0.000,0.000,85.376,87.762,3.573,,,89.000,68.000
2021-10-12 15:09:02 - 2021-10-12 15:19:07,34.920,Functional Strength Training,,605.209,,,,1.000,0.000,0.000,0.000,0.000,91.681,91.681,4.403,,,86.000,62.600
2021-10-12 15:09:26 - 2021-10-12 15:19:26,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,89.667,96.000,,,,,
2021-10-12 15:24:05 - 2021-10-12 15:46:07,164.500,Traditional Strength Training,,1322.748,,,,0.000,1.000,0.000,0.000,0.000,126.154,127.062,6.965,,,84.000,62.600
2021-10-12 15:24:33 - 2021-10-12 15:44:33,125.000,Functional Strength Training (Indoor),,1200.000,,,,,,,,,,,,,,,
2021-10-12 17:12:38 - 2021-10-12 17:31:55,70.799,Walking,0.859,1156.551,13.583,624.562,593.323,1.000,0.000,0.000,0.000,0.000,89.001,89.399,4.385,,,87.000,62.600
2021-10-13 09:56:09 - 2021-10-13 10:07:38,57.084,Walking,0.643,688.496,,597.169,586.137,1.000,0.000,0.000,0.000,0.000,90.639,90.639,5.662,,,81.000,62.600
2021-10-13 10:08:02 - 2021-10-13 10:15:03,37.802,Functional Strength Training,,420.463,,,,1.000,0.000,0.000,0.000,0.000,107.679,107.679,5.951,,,78.000,64.400
2021-10-13 10:15:11 - 2021-10-13 10:26:43,58.647,Walking,0.642,692.392,11.647,601.158,591.260,1.000,0.000,0.000,0.000,0.000,103.846,104.845,5.736,,,76.000,64.400
2021-10-13 13:17:45 - 2021-10-13 13:39:37,98.903,Yoga,,1312.584,,,,1.000,0.000,0.000,0.000,0.000,88.233,91.171,4.631,,,55.000,69.800
2021-10-13 13:18:14 - 2021-10-13 13:38:14,88.000,Yoga (Indoor),,1200.000,,,,,,,,,,,,,,,
2021-10-13 17:11:41 - 2021-10-13 17:33:11,70.626,Pilates,,1289.088,,,,1.000,0.000,0.000,0.000,0.000,84.456,92.861,4.107,,,88.000,62.600
2021-10-13 17:12:16 - 2021-10-13 17:32:16,125.000,Functional Strength Training (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,85.668,85.668,,,,,
2021-10-13 17:37:04 - 2021-10-13 17:58:40,162.173,Traditional Strength Training,,1295.719,,,,0.000,1.000,0.000,0.000,0.000,127.688,133.990,7.011,,,89.000,62.600
2021-10-13 17:37:35 - 2021-10-13 17:57:35,125.000,Functional Strength Training (Indoor),,1200.000,,,,,,,,,,,,,,,
2021-10-14 09:29:01 - 2021-10-14 09:45:51,57.935,Walking,0.630,1009.419,18.012,607.234,593.261,1.000,0.000,0.000,0.000,0.000,92.259,93.390,4.252,,,82.000,62.600
2021-10-14 12:36:41 - 2021-10-14 13:21:58,583.000,Cycling (Indoor),14.250,2717.000,,,,0.000,0.600,0.400,0.000,0.000,136.010,142.279,,18.900,20.800,,
2021-10-14 12:36:42 - 2021-10-14 13:21:55,369.167,Cycling (Indoor),,2713.099,,,,0.000,0.600,0.400,0.000,0.000,136.010,142.279,8.343,,,59.000,64.400
2021-10-14 16:34:09 - 2021-10-14 16:44:27,47.485,Walking,0.594,617.058,10.072,597.941,589.640,1.000,0.000,0.000,0.000,0.000,108.197,108.197,5.364,,,54.000,66.200
2021-10-14 16:46:39 - 2021-10-14 16:57:50,75.658,Functional Strength Training,,671.710,,,,0.000,0.000,1.000,0.000,0.000,143.265,143.265,7.280,,,54.000,66.200
2021-10-14 16:58:16 - 2021-10-14 17:10:14,61.529,Walking,0.661,718.429,17.848,608.748,591.320,0.000,1.000,0.000,0.000,0.000,118.393,119.551,5.808,,,55.000,66.200
2021-10-14 17:14:19 - 2021-10-14 17:20:50,59.712,Traditional Strength Training,,390.910,,,,0.000,0.000,1.000,0.000,0.000,141.087,141.087,9.257,,,,
2021-10-14 17:14:27 - 2021-10-14 17:20:48,40.000,Functional Strength Training (Indoor),,381.000,,,,0.000,0.000,1.000,0.000,0.000,141.087,141.087,,,,,
2021-10-14 17:33:27 - 2021-10-14 17:53:40,119.051,Yoga,,1212.459,,,,1.000,0.000,0.000,0.000,0.000,105.947,110.929,6.445,,,59.000,66.200
2021-10-14 17:34:01 - 2021-10-14 17:54:01,89.000,Yoga (Indoor),,1200.000,,,,1.000,0.000,0.000,0.000,0.000,92.193,100.966,,,,,
2021-10-15 09:08:00 - 2021-10-15 09:56:36,120.275,Walking,1.661,1965.852,19.160,667.530,592.509,1.000,0.000,0.000,0.000,0.000,87.225,95.899,3.538,,,74.000,59.000
2021-10-15 13:07:08 - 2021-10-15 13:52:11,374.439,Cycling (Indoor),,2702.125,,,,0.000,0.400,0.600,0.000,0.000,136.720,140.393,8.480,,,77.000,60.800
2021-10-15 13:07:10 - 2021-10-15 13:52:12,578.000,Cycling (Indoor),14.210,2702.000,,,,0.000,0.500,0.500,0.000,0.000,136.433,140.393,,18.900,21.000,,
2021-10-15 16:35:44 - 2021-10-15 16:45:47,43.255,Functional Strength Training,,602.778,,,,1.000,0.000,0.000,0.000,0.000,93.866,93.866,5.018,,,55.000,60.800
2021-10-15 16:36:04 - 2021-10-15 16:46:04,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,97.500,100.000,,,,,
2021-10-15 17:11:27 - 2021-10-15 17:24:40,86.070,Functional Strength Training,,792.992,,,,0.000,1.000,0.000,0.000,0.000,131.307,131.307,7.038,,,55.000,60.800
2021-10-15 18:17:41 - 2021-10-15 18:45:06,112.491,Walking,1.329,1645.075,7.644,610.147,595.239,1.000,0.000,0.000,0.000,0.000,98.100,100.050,4.848,,,55.000,60.800
2021-10-16 10:08:50 - 2021-10-16 10:27:23,47.441,Walking,0.501,651.079,27.362,617.425,594.043,1.000,0.000,0.000,0.000,0.000,92.844,94.379,11.406,,,61.000,51.800
2021-10-17 10:08:09 - 2021-10-17 10:19:43,49.229,Walking,0.634,693.770,8.825,603.394,592.074,1.000,0.000,0.000,0.000,0.000,82.896,82.896,5.046,,,56.000,53.600
2021-10-17 10:20:28 - 2021-10-17 10:52:32,232.907,Functional Strength Training,,1924.345,,,,0.000,0.333,0.667,0.000,0.000,138.664,143.993,7.621,,,55.000,53.600
