Date,Active energy burned(Cal),Activity,Distance(mi),Duration(s),Elevation: Ascended(ft),Elevation: Maximum(ft),Elevation: Minimum(ft),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Speed: Average(mi/hr),Speed: Maximum(mi/hr),Weather: Humidity(%),Weather: Temperature(degF)
2021-06-21 19:05:48 - 2021-06-21 19:21:23,99.491,Cycling,3.077,935.234,12.795,614.710,590.877,0.000,0.000,1.000,0.000,0.000,150.256,150.624,7.035,,,46.000,69.800
2021-06-21 20:22:54 - 2021-06-21 20:39:25,84.791,Cycling,3.008,991.088,26.804,610.360,589.116,0.000,1.000,0.000,0.000,0.000,128.147,131.461,5.823,,,50.000,64.400
2021-06-22 10:01:42 - 2021-06-22 10:32:24,278.436,Cycling (Indoor),,1841.811,,,,0.000,0.333,0.667,0.000,0.000,133.629,143.612,9.145,,,42.000,66.200
2021-06-22 10:02:25 - 2021-06-22 10:32:25,406.000,Cycling (Indoor),9.480,1800.000,,,,0.000,0.000,1.000,0.000,0.000,141.066,143.612,,19.000,24.800,,
2021-06-22 10:34:00 - 2021-06-22 10:48:41,82.218,Traditional Strength Training,,880.610,,,,0.500,0.500,0.000,0.000,0.000,106.732,117.591,4.501,,,40.000,66.200
2021-06-22 10:34:06 - 2021-06-22 10:44:06,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-06-22 10:48:51 - 2021-06-22 10:58:48,39.141,Functional Strength Training,,597.115,,,,1.000,0.000,0.000,0.000,0.000,94.935,94.935,4.710,,,39.000,68.000
2021-06-22 10:49:03 - 2021-06-22 10:59:03,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,108.750,110.000,,,,,
2021-06-22 17:38:25 - 2021-06-22 17:48:25,26.545,Functional Strength Training,,600.212,,,,1.000,0.000,0.000,0.000,0.000,93.105,93.105,3.639,,,38.000,73.400
2021-06-22 17:38:38 - 2021-06-22 17:48:38,62.000,Functional Strength Training (Indoor),,600.000,,,,0.000,1.000,0.000,0.000,0.000,119.000,119.000,,,,,
2021-06-22 17:51:46 - 2021-06-22 18:21:56,280.876,Traditional Strength Training,,1810.114,,,,0.333,0.000,0.667,0.000,0.000,133.991,146.885,8.894,,,38.000,73.400
2021-06-22 17:52:12 - 2021-06-22 18:22:12,187.000,Functional Strength Training (Indoor),,1800.000,,,,0.000,0.250,0.750,0.000,0.000,139.037,146.885,,,,,
2021-06-22 18:23:04 - 2021-06-22 18:31:20,33.656,Functional Strength Training,,495.897,,,,1.000,0.000,0.000,0.000,0.000,98.820,98.820,4.761,,,40.000,73.400
2021-06-22 18:23:21 - 2021-06-22 18:29:59,22.000,Preparation and Recovery (Indoor),,398.000,,,,,,,,,,,,,,,
2021-06-23 10:25:52 - 2021-06-23 10:47:04,101.237,Yoga,,1272.053,,,,1.000,0.000,0.000,0.000,0.000,86.743,93.896,4.790,,,64.000,69.800
2021-06-23 10:26:20 - 2021-06-23 10:46:59,105.000,Yoga (Indoor),,1239.000,,,,1.000,0.000,0.000,0.000,0.000,79.589,79.589,,,,,
2021-06-24 08:16:12 - 2021-06-24 08:34:36,71.248,Walking,1.025,1103.683,14.928,643.292,595.452,1.000,0.000,0.000,0.000,0.000,87.504,89.665,4.685,,,59.000,71.600
2021-06-24 17:33:05 - 2021-06-24 17:48:15,74.253,Yoga,,910.430,,,,1.000,0.000,0.000,0.000,0.000,83.442,87.307,5.471,,,90.000,69.800
2021-06-24 17:50:06 - 2021-06-24 17:59:11,47.464,Functional Strength Training,,544.993,,,,1.000,0.000,0.000,0.000,0.000,113.784,113.784,5.919,,,90.000,69.800
2021-06-24 18:09:50 - 2021-06-24 18:18:41,84.308,Traditional Strength Training,,531.144,,,,0.000,0.000,1.000,0.000,0.000,138.367,138.367,9.477,,,90.000,69.800
2021-06-27 18:13:42 - 2021-06-27 18:18:42,31.000,Functional Strength Training (Indoor),,300.000,,,,1.000,0.000,0.000,0.000,0.000,74.000,74.000,,,,,
2021-06-27 18:19:55 - 2021-06-27 18:30:35,46.797,Traditional Strength Training,,639.555,,,,1.000,0.000,0.000,0.000,0.000,107.669,107.669,3.526,,,,
2021-06-27 18:20:10 - 2021-06-27 18:30:10,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-06-27 18:31:27 - 2021-06-27 18:41:30,32.221,Functional Strength Training,,602.536,,,,1.000,0.000,0.000,0.000,0.000,97.132,97.132,4.065,,,56.000,82.400
2021-06-27 18:31:49 - 2021-06-27 18:41:49,64.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,94.750,101.000,,,,,
2021-06-27 18:42:19 - 2021-06-27 18:53:53,48.415,Traditional Strength Training,,635.392,,,,1.000,0.000,0.000,0.000,0.000,99.464,99.464,3.644,,,56.000,82.400
2021-06-27 18:43:59 - 2021-06-27 18:53:59,62.000,Functional Strength Training (Indoor),,600.000,,,,1.000,0.000,0.000,0.000,0.000,103.000,103.000,,,,,
2021-06-28 10:40:24 - 2021-06-28 10:56:07,160.657,Cycling (Indoor),,943.159,,,,0.000,0.000,1.000,0.000,0.000,140.050,144.621,10.163,,,91.000,69.800
2021-06-28 10:41:01 - 2021-06-28 10:56:01,182.000,Cycling (Indoor),4.550,900.000,,,,,,,,,,,,18.200,24.500,,
2021-06-28 10:58:23 - 2021-06-28 11:18:41,278.017,Cycling (Indoor),,1217.243,,,,0.000,0.000,0.000,0.500,0.500,172.135,175.038,13.201,,,90.000,69.800
2021-06-28 10:58:32 - 2021-06-28 11:18:32,416.000,Cycling (Indoor),7.580,1200.000,,,,,,,,,,,,22.800,27.400,,
2021-06-28 13:30:56 - 2021-06-28 14:22:41,115.906,Walking,1.227,1733.618,27.231,623.341,547.631,1.000,0.000,0.000,0.000,0.000,79.784,89.731,3.342,,,71.000,78.800
2021-06-28 17:40:54 - 2021-06-28 18:01:00,122.219,Traditional Strength Training,,1205.716,,,,0.500,0.500,0.000,0.000,0.000,121.949,130.941,4.922,,,96.000,71.600
2021-06-28 17:41:18 - 2021-06-28 18:01:18,125.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,0.500,0.500,0.000,0.000,134.985,145.000,,,,,
2021-06-29 18:04:04 - 2021-06-29 18:19:48,93.002,Walking,1.013,943.517,,597.217,588.691,1.000,0.000,0.000,0.000,0.000,100.179,114.657,6.464,,,60.000,84.200
2021-06-30 09:53:08 - 2021-06-30 10:12:27,99.325,Walking,1.038,1158.752,14.469,614.796,564.737,1.000,0.000,0.000,0.000,0.000,84.109,87.486,5.763,,,79.000,75.200
2021-06-30 10:18:32 - 2021-06-30 11:03:35,509.426,Cycling (Indoor),,2703.631,,,,0.000,0.200,0.800,0.000,0.000,148.009,153.414,11.058,,,77.000,77.000
2021-06-30 10:18:37 - 2021-06-30 11:03:37,593.000,Cycling (Indoor),14.340,2700.000,,,,0.000,0.167,0.833,0.000,0.000,148.007,153.414,,19.100,21.600,,
2021-06-30 11:08:59 - 2021-06-30 11:19:06,88.460,Traditional Strength Training,,607.715,,,,0.000,1.000,0.000,0.000,0.000,127.414,127.414,8.862,,,73.000,78.800
2021-06-30 11:09:01 - 2021-06-30 11:19:01,62.000,Functional Strength Training (Indoor),,600.000,,,,,,,,,,,,,,,
2021-06-30 16:59:45 - 2021-06-30 17:19:50,194.559,Traditional Strength Training,,1205.581,,,,0.000,0.500,0.500,0.000,0.000,141.198,150.325,9.225,,,70.000,80.600
2021-06-30 17:00:10 - 2021-06-30 17:20:10,125.000,Functional Strength Training (Indoor),,1200.000,,,,0.000,0.000,1.000,0.000,0.000,146.831,152.000,,,,,
2021-06-30 19:53:44 - 2021-06-30 20:18:51,93.887,Walking,0.938,1506.788,13.123,621.912,572.943,1.000,0.000,0.000,0.000,0.000,103.947,106.621,4.458,,,84.000,73.400
2021-07-01 13:00:13 - 2021-07-01 14:00:35,370.000,Cycling (Indoor),13.930,3622.000,,,,0.500,0.500,0.000,0.000,0.000,112.436,125.000,,13.800,18.200,,
2021-07-01 13:00:19 - 2021-07-01 14:00:21,452.846,Cycling (Indoor),,3602.453,,,,0.667,0.333,0.000,0.000,0.000,108.749,118.776,7.802,,,58.000,73.400
2021-07-01 19:21:42 - 2021-07-01 20:03:35,161.890,Walking,1.963,2513.823,,601.497,540.353,1.000,0.000,0.000,0.000,0.000,84.680,89.557,4.583,,,67.000,66.200
2021-07-02 11:06:18 - 2021-07-02 11:36:32,317.871,Traditional Strength Training,,1814.767,,,,0.000,0.333,0.334,0.333,0.000,145.576,156.765,10.032,,,71.000,66.200
2021-07-02 11:06:47 - 2021-07-02 11:36:47,187.000,Functional Strength Training (Indoor),,1800.000,,,,0.000,0.250,0.500,0.250,0.000,143.982,156.765,,,,,
2021-07-02 14:17:00 - 2021-07-02 14:48:38,142.534,Walking,1.623,1897.700,48.360,615.131,550.492,1.000,0.000,0.000,0.000,0.000,95.630,100.936,5.196,,,59.000,69.800
2021-07-03 10:28:54 - 2021-07-03 10:40:10,94.464,Cycling (Indoor),,676.115,,,,0.000,1.000,0.000,0.000,0.000,127.369,127.369,8.560,,,54.000,73.400
2021-07-03 10:29:58 - 2021-07-03 10:39:58,111.000,Cycling (Indoor),2.930,600.000,,,,,,,,,,,,17.600,22.000,,
2021-07-03 10:41:28 - 2021-07-03 10:56:35,198.736,Cycling (Indoor),,906.738,,,,0.000,0.000,0.000,1.000,0.000,165.620,167.344,12.693,,,52.000,75.200
2021-07-03 10:41:32 - 2021-07-03 10:56:32,261.000,Cycling (Indoor),5.170,900.000,,,,0.000,0.000,0.000,1.000,0.000,167.344,167.344,,20.600,25.800,,
2021-07-03 11:07:31 - 2021-07-03 11:20:10,53.699,Walking,0.622,759.844,6.562,600.923,594.029,1.000,0.000,0.000,0.000,0.000,106.203,106.495,4.994,,,51.000,77.000
2021-07-03 12:21:39 - 2021-07-03 12:39:14,78.068,Walking,0.866,1055.069,7.940,598.807,587.641,1.000,0.000,0.000,0.000,0.000,98.247,99.669,4.896,,,47.000,80.600
2021-07-03 16:26:50 - 2021-07-03 16:38:00,37.950,Walking,0.347,669.527,15.289,603.562,594.795,1.000,0.000,0.000,0.000,0.000,99.679,99.679,4.139,,,43.000,87.800
2021-07-03 21:48:58 - 2021-07-03 22:15:05,101.495,Walking,0.980,1566.303,15.682,624.160,570.342,1.000,0.000,0.000,0.000,0.000,110.986,113.512,4.592,,,57.000,80.600
2021-07-04 10:30:35 - 2021-07-04 10:47:43,55.680,Walking,0.636,1028.270,15.354,627.449,583.779,1.000,0.000,0.000,0.000,0.000,84.780,85.841,4.004,,,58.000,82.400
2021-07-04 14:21:24 - 2021-07-04 14:34:21,52.369,Walking,0.688,777.003,7.546,607.528,542.141,1.000,0.000,0.000,0.000,0.000,88.236,92.792,4.809,,,43.000,89.600
2021-07-05 17:06:46 - 2021-07-05 17:12:49,22.232,Traditional Strength Training,,362.726,,,,1.000,0.000,0.000,0.000,0.000,92.998,92.998,2.434,,,44.000,91.400
2021-07-05 17:06:46 - 2021-07-05 17:12:58,39.000,Functional Strength Training (Indoor),,372.000,,,,1.000,0.000,0.000,0.000,0.000,92.499,92.998,,,,,
2021-07-06 08:08:40 - 2021-07-06 08:23:59,57.904,Walking,0.796,918.933,,641.633,587.207,1.000,0.000,0.000,0.000,0.000,85.952,87.045,4.598,,,67.000,80.600
2021-07-06 18:46:59 - 2021-07-06 19:16:12,143.068,Walking,1.569,1753.531,30.840,619.401,571.762,1.000,0.000,0.000,0.000,0.000,84.081,86.300,5.511,,,48.000,89.600
2021-07-07 07:48:25 - 2021-07-07 08:24:22,164.579,Walking,2.032,2156.931,24.639,625.502,592.362,1.000,0.000,0.000,0.000,0.000,87.110,91.333,5.270,,,73.000,78.800
2021-07-07 09:59:33 - 2021-07-07 10:45:04,597.000,Cycling (Indoor),14.430,2731.000,,,,0.000,0.250,0.750,0.000,0.000,139.626,143.311,,19.000,20.900,,
2021-07-07 09:59:41 - 2021-07-07 10:45:21,484.946,Cycling (Indoor),,2740.380,,,,0.000,0.200,0.800,0.000,0.000,140.324,143.311,10.466,,,57.000,84.200
2021-07-07 12:12:07 - 2021-07-07 12:26:01,79.017,Cycling,2.431,833.521,33.924,608.907,592.820,0.000,0.000,1.000,0.000,0.000,144.100,149.319,7.038,,,54.000,86.000
2021-07-07 17:17:57 - 2021-07-07 18:05:53,318.826,Traditional Strength Training,,2876.968,,,,0.250,0.750,0.000,0.000,0.000,116.691,131.683,5.691,,,73.000,75.200
2021-07-07 18:25:24 - 2021-07-07 18:37:30,70.960,Cycling,2.126,726.750,14.895,613.459,563.700,0.000,1.000,0.000,0.000,0.000,127.878,131.018,6.268,,,68.000,75.200
2021-07-08 08:23:52 - 2021-07-08 08:54:34,140.933,Walking,1.721,1842.111,8.694,601.815,571.256,1.000,0.000,0.000,0.000,0.000,88.228,89.472,5.270,,,89.000,62.600
2021-07-08 11:08:03 - 2021-07-08 11:20:44,82.315,Cycling,2.463,760.181,42.159,618.367,589.385,0.000,0.000,0.500,0.500,0.000,152.798,155.504,7.482,,,81.000,64.400
2021-07-08 12:47:15 - 2021-07-08 12:59:20,89.840,Cycling,2.389,724.667,21.161,658.973,590.158,0.000,0.000,0.000,1.000,0.000,166.860,168.617,8.598,,,74.000,66.200
2021-07-10 10:19:53 - 2021-07-10 10:49:35,161.088,Walking,1.681,1782.279,30.577,600.385,592.787,1.000,0.000,0.000,0.000,0.000,91.804,95.009,5.988,,,76.000,69.800
2021-07-10 11:00:14 - 2021-07-10 11:06:02,46.936,Functional Strength Training,,348.053,,,,0.000,0.000,1.000,0.000,0.000,138.609,138.609,8.476,,,77.000,69.800
2021-07-10 11:08:43 - 2021-07-10 11:53:52,468.405,Traditional Strength Training,,2709.309,,,,0.000,0.000,1.000,0.000,0.000,140.721,146.156,10.099,,,76.000,69.800
2021-07-12 08:22:43 - 2021-07-12 08:32:56,44.426,Walking,0.518,613.162,6.693,597.101,575.138,1.000,0.000,0.000,0.000,0.000,86.132,86.132,5.101,,,89.000,68.000
2021-07-12 12:33:09 - 2021-07-12 12:44:41,53.864,Traditional Strength Training,,691.875,,,,1.000,0.000,0.000,0.000,0.000,108.468,108.468,4.106,,,82.000,71.600
